Seq_ID	Origin	Farming	Condition	Sample_ID	Region	Time	Latitude	Longitude	Variety	Collection_date	Density	pH	Ammonia	Sugars	Malic_acid	PAN
ITS-60	LM	Conv	Control	LM-Conv-Control	La Mancha	0_initial	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	24	198.7	2.48	40
ITS-78	LM	Conv	18C	LM-Conv-18C	La Mancha	0_initial	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	25	229.79	2.69	45
ITS-96	LM	Conv	NH4	LM-Conv-NH4	La Mancha	0_initial	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	403	227.07	2.41	62
ITS-114	LM	Conv	SO2	LM-Conv-SO2	La Mancha	0_initial	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	20	200.96	2.81	40
ITS-59	LM	Eco	Control	LM-Eco-Control	La Mancha	0_initial	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	58	227.74	2.1	93
ITS-77	LM	Eco	18C	LM-Eco-18C	La Mancha	0_initial	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	63	266.21	2.21	101
ITS-95	LM	Eco	NH4	LM-Eco-NH4	La Mancha	0_initial	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	392	269.91	2.13	109
ITS-113	LM	Eco	SO2	LM-Eco-SO2	La Mancha	0_initial	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	58	245.96	2.17	92
ITS-58	M	Conv	Control	M-Conv-Control	Madrid	0_initial	40.099700	-3.390333	Tempranillo	02/09/2020	1111	3.74	77	254.29	1.62	95
ITS-76	M	Conv	18C	M-Conv-18C	Madrid	0_initial	40.099700	-3.390333	Tempranillo	02/09/2020	1111	3.74	45	248.97	1.44	96
ITS-94	M	Conv	NH4	M-Conv-NH4	Madrid	0_initial	40.099700	-3.390333	Tempranillo	02/09/2020	1111	3.74	354	273.83	1.5	121
