Seq_ID	Origin	Farming	Condition	Region	Stage	Time	Latitude	Longitude	Variety	Must_density	pH_must initial	Sugars	Ammonia	PAN	Malic_acid	Acetic_acid	Glycerol	Lactic_acid	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average
ITS-60	LM	CONV	Control	La Mancha	T0	0	39.183196	-2.169892	Tempranillo	1088	3.54	198.7	24	40	2.48	0	0	0	NA	60000000	24	0.501393875	3.973072025
ITS-132	LM	CONV	Control	La Mancha	T1	144	39.183196	-2.169892	Tempranillo	1088	3.54	133.67	15	10	2.67	0.1	5.99	0.02	36400000	60000000	24	0.501393875	3.973072025
ITS-203	LM	CONV	Control	La Mancha	T2	336	39.183196	-2.169892	Tempranillo	1088	3.54	0.34	7	13	2.3	0.23	9.43	0.05	28200000	60000000	24	0.501393875	3.973072025
ITS-78	LM	CONV	18C	La Mancha	T0	0	39.183196	-2.169892	Tempranillo	1088	3.54	229.79	25	45	2.69	0	0	0	NA	68000000	43	0.511393207	2.215096891
ITS-150	LM	CONV	18C	La Mancha	T1	336	39.183196	-2.169892	Tempranillo	1088	3.54	125.94	43	10	2.71	0.17	4.79	0.02	14300000	68000000	43	0.511393207	2.215096891
ITS-220	LM	CONV	18C	La Mancha	T2	864	39.183196	-2.169892	Tempranillo	1088	3.54	3.56	11	7	2.28	0.22	7.31	0.01	1250000	68000000	43	0.511393207	2.215096891
ITS-96	LM	CONV	NH4	La Mancha	T0	0	39.183196	-2.169892	Tempranillo	1088	3.54	227.07	403	62	2.41	0	0	0	NA	112000000	22	1.252840258	4.328820391
ITS-167	LM	CONV	NH4	La Mancha	T1	96	39.183196	-2.169892	Tempranillo	1088	3.54	133.2	24	33	2.39	0.05	5.62	0.02	90200000	112000000	22	1.252840258	4.328820391
ITS-237	LM	CONV	NH4	La Mancha	T2	192	39.183196	-2.169892	Tempranillo	1088	3.54	0.03	12	60	1.51	0.19	9.95	0	76600000	112000000	22	1.252840258	4.328820391
ITS-114	LM	CONV	SO2	La Mancha	T0	0	39.183196	-2.169892	Tempranillo	1088	3.54	200.96	20	40	2.81	0	0	0	NA	352000000	29	0.568482823	3.282315195
ITS-185	LM	CONV	SO2	La Mancha	T1	144	39.183196	-2.169892	Tempranillo	1088	3.54	121.24	46	12	2.68	0.08	5.19	0.02	64800000	352000000	29	0.568482823	3.282315195
ITS-255	LM	CONV	SO2	La Mancha	T2	336	39.183196	-2.169892	Tempranillo	1088	3.54	0.1	18	26	2.69	0.23	8.67	0	23100000	352000000	29	0.568482823	3.282315195
ITS-59	LM	ECO	Control	La Mancha	T0	0	39.0944483	-2.3329039	Tempranillo	1103	3.8	227.74	58	93	2.1	0	0	0	NA	160000000	31	0.903728881	3.047006251
ITS-131	LM	ECO	Control	La Mancha	T1	120	39.0944483	-2.3329039	Tempranillo	1103	3.8	174.22	25	23	1.98	0.18	6.08	2.29	40000000	160000000	31	0.903728881	3.047006251
ITS-202	LM	ECO	Control	La Mancha	T2	672	39.0944483	-2.3329039	Tempranillo	1103	3.8	7.76	12	32	1.42	0.51	9.86	2.24	1100000	160000000	31	0.903728881	3.047006251
ITS-77	LM	ECO	18C	La Mancha	T0	0	39.0944483	-2.3329039	Tempranillo	1103	3.8	266.21	63	101	2.21	0	0	0	NA	80000000	43	0.67623322	2.198678337
ITS-149	LM	ECO	18C	La Mancha	T1	216	39.0944483	-2.3329039	Tempranillo	1103	3.8	170.71	33	20	2.28	0.07	5.27	0.03	49500000	80000000	43	0.67623322	2.198678337
ITS-219	LM	ECO	18C	La Mancha	T2	816	39.0944483	-2.3329039	Tempranillo	1103	3.8	0.57	13	30	1.97	0.15	9.17	0.02	18700000	80000000	43	0.67623322	2.198678337
ITS-95	LM	ECO	NH4	La Mancha	T0	0	39.0944483	-2.3329039	Tempranillo	1103	3.8	269.91	392	109	2.13	0	0	0	NA	44800000	22	1.183219075	4.291180465
