Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
-	LM	CONV	Control	3_end	576	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.23	7	0.34	9.43	0.05	2.3	13	13.74	1.25	0.03	2.15	3.33	2.82E+07	6.00E+07	24	0.501393875	0.19	192	La Mancha
-	LM	CONV	18C	3_end	1032	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.22	11	3.56	7.31	0.01	2.28	7	13.82	1.02	0	1.75	3.35	1.25E+06	6.80E+07	43	0.511393207	0.11	216	La Mancha
-	LM	CONV	NH4	3_end	528	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.19	12	0.03	9.95	0	1.51	60	13.25	1.02	0.14	1.43	3.27	7.66E+07	1.12E+08	22	1.252840258	0.22	96	La Mancha
-	LM	CONV	SO2	3_end	696	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0.23	18	0.1	8.67	0	2.69	26	13.75	1.52	0.05	1.98	3.35	2.31E+07	3.52E+08	29	0.568482823	0.17	72	La Mancha
-	LM	ECO	Control	3_end	816	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.51	12	7.76	9.86	2.24	1.42	32	15.99	0.67	0.13	1.81	3.59	1.10E+06	1.60E+08	34	0.903728881	0.18	192	La Mancha
-	LM	ECO	18C	3_end	1032	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.15	13	0.57	9.17	0.02	1.97	30	17.22	0.43	0.05	1.63	3.5	1.87E+07	8.00E+07	43	0.67623322	0.13	192	La Mancha
-	LM	ECO	NH4	3_end	528	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.31	76	1.07	9.26	2.85	1.31	76	16.53	0.45	0.1	0.89	3.43	4.70E+06	4.48E+07	22	1.183219075	0.25	120	La Mancha
-	LM	ECO	SO2	3_end	648	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0.13	23	2.12	9.69	0.02	1.73	48	16.41	1.42	0.06	2.1	3.62	6.96E+06	1.20E+08	27	2.025581969	0.22	264	La Mancha
-	M	CONV	Control	3_end	480	40.099700	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.47	33	177.55	5.05	0.03	1.52	30	7.34	0.83	0	0.12	3.88	8.00E+03	4.00E+06	20	0.503947589	0.14	96	Madrid
-	M	CONV	18C	3_end	984	40.099700	-3.390333	Tempranillo	02/09/2020	1111	3.74	0.67	57	167.57	6.31	0.03	1.3	24	8.01	0.6	0	0.16	4.03	3.24E+06	4.40E+07	41	0.310613352	0.07	144	Madrid
