	"LM-CONV-18C"	"LM-CONV-Control"	"LM-CONV-NH4"	"LM-CONV-SO2"	"LM-ECO-18C"	"LM-ECO-Control"	"LM-ECO-NH4"	"M-CONV-18C"	"M-CONV-Control"	"M-CONV-NH4"	"M-ECO-18C"	"M-ECO-Control"	"M-ECO-NH4"	"R1-CONV-18C"	"R1-CONV-Control"	"R1-CONV-NH4"	"R1-ECO-18C"	"R1-ECO-Control"	"R1-ECO-NH4"	"R1-ECO-SO2"	"R2-CONV-18C"	"R2-CONV-Control"	"R2-CONV-NH4"	"R2-CONV-SO2"	"R2-ECO-18C"	"R2-ECO-Control"	"R2-ECO-NH4"	"R3A-CONV-18C"	"R3A-CONV-Control"	"R3A-CONV-NH4"	"R3A-ECO-18C"	"R3A-ECO-Control"	"R3A-ECO-NH4"	"R3B-CONV-18C"	"R3B-CONV-Control"	"R3B-CONV-NH4"	"R3B-CONV-SO2"	"R3B-ECO-18C"	"R3B-ECO-Control"	"R3B-ECO-NH4"	"R3C-ECO-18C"	"R3C-ECO-Control"	"R3C-ECO-NH4"	"R3C-ECO-SO2"	"RdG-CONV-18C"	"RdG-CONV-Control"	"RdG-CONV-NH4"	"RdG-CONV-SO2"	"RdG-ECO-18C"	"RdG-ECO-Control"	"RdG-ECO-NH4"	"VLP-CONV-18C"	"VLP-CONV-Control"	"VLP-CONV-NH4"	"VLP-CONV-SO2"	"VLP-ECO-18C"	"VLP-ECO-Control"	"VLP-ECO-NH4"	"VLP-ECO-SO2"
"Citeromyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25392847228467e-06	2.30375543839515e-05	0	0	0	0	1.28236376931276e-05	0	0	1.68437969216099e-06	3.03959770779595e-06	0	0	0	0	0	0	0	4.81812772374783e-06	1.57112666113051e-05	5.66267901878594e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eremothecium"	7.46322567705889e-05	0.000184262495085857	0.000529095716169023	0	0.000301168513187476	0.000493723835666695	5.07522342952957e-05	0.00111744409724772	0.000564397442106981	0.000756835829095048	0.000813657603213349	0.000654512128279495	0.00090631655199547	0.00107701408486129	0.000427621733277319	0.000278824762180317	9.84908288341412e-05	4.34614710496729e-05	0.000801501482038134	0.000140190907538668	0.00134435645209639	0.000516765314697526	0.00116841637929448	0.00146778629427172	0.000897863027484555	0.00111915092746087	0.000907112824443142	0.000692573934817854	0.000798702296215545	0.000837692212478966	4.78544718423836e-05	0.000850275885353352	6.33068142504246e-05	0.000108050975434419	2.50139902627358e-05	2.61765350868407e-05	0.000644561738105795	5.9823324660751e-05	0.00142368543654138	0.00104122338052012	0.00149361813414806	0.00118622028166017	0.00135476198608566	0.000257709208639955	0.000863532901891479	0.000897854100361763	0.000843966620879223	0.000851764530862244	0.00125989327270825	0.00112072636998707	0.00109435101744174	0.000918010485772621	0.000480024289732515	0.00106742824692313	0.000132504001121604	4.07995604092163e-07	0.000186245130715034	0.000341855477934203	0
"Kazachstania"	0	0	0	0	0	0	0	0.00152053856995272	0.00404323761180634	0.00391049708174945	0.00129397033339495	0.00114636706380467	0.00041534942346588	0.000907078030154137	0.000833231550591839	0.00476348035861605	0	2.13744939588555e-06	0	0.000601792771702999	0	0.00194282658440136	0.0013531166453939	0.00156621958017026	2.73933328883025e-05	1.23031335791741e-05	3.25407743650598e-06	0	0	0	0	0	0	7.40564076057537e-06	2.27399911479416e-06	3.73950501240581e-06	4.6161602050547e-06	0	7.0619317288759e-06	0	0	0	0	0.000373247146174895	8.4395236925492e-05	7.43882276733181e-05	7.91334534728652e-05	5.17767822698796e-05	0.00300427861038834	0.000648375029868228	0.000321953297264461	0.00382286361400434	0.00261428315275461	0.00160251764959282	0	0.000674090337081072	0	0	0
"Kluyveromyces"	0.000121803141712884	8.66540571388678e-05	5.08232320421033e-05	0.000211165498150357	0.00120410061689083	6.2073754757896e-05	7.05133958476663e-05	0.000493225766145556	0.000447297858656132	0.000783783655500212	0.00336284230174744	0.00106060034484212	0.000773085357359411	0.0104301075095452	0.0101672234518174	0.00695412416279261	5.36838423259053e-05	3.84740891259399e-05	0.000154539139567333	0.0013489651480023	5.27438189946173e-05	0.00426636059705402	0.00317531580781563	0.00549648642621471	0.00108332209674776	0.000143729548754351	2.80470483813134e-05	2.29275606247124e-05	8.9260426488103e-07	0.000217389272384651	2.2572864076596e-07	3.84967428408014e-05	5.29916464332627e-05	6.93275044694826e-05	0.000494904898256111	0.000863825657865742	0.00157265289512205	5.67997631255506e-05	5.00388305360349e-05	5.90656772754729e-05	0.000134381572541344	0.000268783240633421	0.000148009239008478	0.00103768540604927	0.864729827391846	0.839247984610375	0.869690367661067	0.843429198167248	0.000850445784393188	0.000675997452405339	0.00097295350475264	0.000776107310510705	0.000636095115680238	0.00112095834533176	0.00145962413794395	0.000174295722068172	0.00064416893834466	0.00033609871995608	0.000695303076564961
"Lachancea"	4.12332910334745e-07	2.53422242575934e-06	3.58850406865426e-06	6.72195764917008e-07	0.62148978406814	0.776767627963653	0.836422850205433	0.0057119064883889	0.00375507921456622	0.00364790888694912	0.00648814100030896	0.0060841112992382	0.00549723494389652	0.00555516770866704	0.00417501620694422	0.00427181040111667	0.863581113855187	0.865885381413595	0.863989986486584	0.0118944153957482	0.864587066808294	0.167417046525249	0.205617727232026	0.0137693566819599	0.792493641688291	0.821349671122765	0.823497135327163	0.878190213507101	0.855273233752616	0.864993614278637	0.858042643751899	0.871768784258514	0.861782313350325	0.642342170404151	0.495035343114424	0.411246187374309	0.000308796822138133	0.864224161668971	0.871463964677428	0.865940053152064	0.854992841899608	0.869570528899998	0.858476632352763	0.0079704689597375	0.0014499017936815	0.00164102791778377	0.00142607008073466	0.00215420584260879	0.0448206853512808	0.00392689539879299	0.0195048561423353	0.00296530070987262	0.00304628564988783	0.00142521242245277	5.40832657639199e-06	9.95509273984878e-06	6.83468369596456e-06	4.12567655098813e-06	4.99461567286739e-06
"Nakaseomyces"	0	0	0	0	0	0	0	4.20437520422424e-06	6.99053909458989e-05	1.92921939036973e-05	0.000198787634930101	0.000114503562702905	0.000151391968522995	0.000170097284360579	0.000191664731676087	0.000165437654685429	0	0	0	8.59978493811566e-05	0	3.51967928173077e-05	7.09005666741441e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.18171457868968e-08	0.000103743175525336	0	0	0	0	0	0	0	6.14385256022264e-06	6.38999659587454e-06	0	0	0	0	0	0
"Naumovozyma"	0	0	0	0	6.65185596529841e-06	2.51406895919183e-05	0	9.70947898725536e-05	7.97308030373731e-05	0.000123102570623593	2.17730158740527e-06	5.54765323172991e-06	0.000460438241392067	0	0	0.000133303161936339	9.08820952761389e-06	0	0	0.000297197037023371	0	5.65695223058538e-05	0.000417759554572845	6.68781176918289e-05	3.19145625883136e-06	0	0	0	1.85661687095254e-05	7.64757049431347e-06	1.21893466013619e-05	0	0	0	0	0	0	5.61518570822934e-06	0	0	0	0	0	0.000119089048677617	0	2.12537793352337e-06	0	0	0.000186096289856736	0.000204754175081678	0.000247147924239569	7.0753398838693e-05	8.44254095697364e-05	2.83519098290782e-05	0	5.54874021565342e-06	1.38402344843282e-05	5.20986597020129e-05	0
"Saccharomyces"	0.85930302213634	0.84191487808469	0.82377248750679	0.855329835418629	0.000282703878525183	0.000338457557274913	0.000284404029918921	0.00106738575497243	0.000348238376094547	0.000886675356319931	0.000518850968278675	0.00104207118304815	0.000422394551266847	0.00097382710667099	0.000558216820056614	0.000418848065185857	0.000338799997041048	0.000368531900007267	0.000380898105961299	0.000441711858776734	0.000654410279301941	0.00105635852344452	0.00132402323354631	0.00984898026177131	0.000187764009894578	0.00035288281960031	0.000701950989874861	0.000248365073022766	0.000739701154306909	0.000159466006974018	0.000469064115511666	0.000362491069233881	0.000128433952233289	0.188165732529848	0.378949135394527	0.4544385386976	0.829801201416432	0.00091635511384681	0.000459429101332869	0.000670859272912081	0.000464828062397109	0.000183926323295032	0.000202824075043255	0.00825709435911068	0.000302503522925244	0.000430507108090346	0.000315051219915388	0.00148037842264585	0.000857397657290135	0.00109840681939835	0.000695818943912576	0.298177812606155	0.235329051906523	0.415129086880196	0.863620932886411	0.831841511006824	0.849014660738262	0.842020552969225	0.854738175017379
"Tetrapisispora"	0.000760754219567605	0	0	0.000142985641994489	6.7665431371139e-06	0	0	0.0005615468632142	0.000195702880182643	0.00011207845982148	4.92070158753591e-05	6.67937449100282e-05	9.1899778203721e-05	7.14247364661007e-05	7.20756028781922e-05	0.000130370736742506	0	0	0	0.000110980464843839	0	0.000844086393119982	0.000498487922568157	0.000706694476032319	3.54606250981262e-06	3.76331144774736e-06	0	0	0	0	0	0	0	0	0	2.13686000708903e-06	0	0	0	0	0	0	0	9.63873024440776e-05	0	2.12537793352337e-06	0	0	0	0	0.000318084053832139	0.000160731110527115	0.000228490787367635	0.000201425508636436	0	9.79189449821192e-07	0	0	0
"Torulaspora"	0	0	0	0	0.244107631158257	0.0792597500016378	0.024250688528489	0.000217445030093472	0.000326010394641703	0.000362417642619457	5.68275714312775e-05	0.000104628739950426	6.10577742750446e-05	6.25571055278715e-05	9.28795478430336e-05	6.45133542643327e-05	4.83999995772926e-05	2.19088563078269e-05	2.04365360888791e-05	0.00330481567778268	0	7.69418261587657e-05	4.00911895165127e-05	6.49942270526225e-05	0.000153810461363122	0.0001072543762608	8.36762769387251e-05	0	0	0	0	0	0	7.71792681674421e-05	1.67449025725752e-05	3.04502551010187e-05	0.000410838258249868	0	0	0	0	0	0	0.00235705002095156	0	0	0	0	0.000342246050311239	0.000448132253309803	0.000580225296371955	0.000151416237290648	0.000343123453572415	0.000201637090053071	0	5.6384992485537e-05	5.12601277197342e-06	5.37297411291478e-06	0
