Sample_ID	Ethanol	pH	Total_acidity	Acetic_acid	Lactic_acid	Tartaric_acid	Citric_acid	Succinic_acid	Glucose	Fructose	Sugars	Glycerol
LM-CONV-Control	12.31	3.43	4.52	0.42	0	0.32	0	0.65	0	0.98	0	4.43
LM-CONV-18C	11.98	3.41	4.47	0.29	0	0.48	0	0.66	0.47	2	0.61	4.21
LM-CONV-NH4	12.36	3.38	4.96	0.41	0	0.25	0	0.28	0	0.49	0	4.35
LM-CONV-SO2	11.78	3.46	4.7	0.45	0	0.65	0	0.86	0	0.1	0	4.19
LM-ECO-Control	8.88	3.17	7.39	NA	2.56	0.41	0.12	1.56	23.8	31.62	50.81	6.14
LM-ECO-18C	9.52	3.2	6.71	0.17	1.69	0.72	0.03	1.54	16.13	24.38	34.29	5.4
LM-ECO-NH4	9.18	3.15	7.45	NA	2.21	0.27	0.12	1.34	20.22	27.06	42.37	6.54
M-CONV-Control	6.24	3.39	5.04	0.75	0	0.5	0.02	0.28	50.62	54.83	102.88	3.04
M-CONV-18C	5.39	3.25	4.94	0.54	0.03	0.41	0.07	0.29	55.96	65.33	115.72	2.87
M-CONV-NH4	6.98	3.34	5.28	0.45	0	0.2	0	0.37	43.1	49.71	87.21	3.44
M-ECO-Control	5.75	3.24	5.02	1.58	0	0.54	0	0.1	51.01	58.94	105.07	3.67
M-ECO-18C	4.79	3.2	5.01	1.11	0	0.42	0	0.25	60.65	68.05	123.9	3.57
M-ECO-NH4	5.84	3.2	5.54	1.49	0	0.13	0	0.08	49.87	58.63	101.84	3.7
R1-CONV-Control	11.16	3.23	5.44	1.6	0	0.34	0	0.57	1.22	3.26	2.11	5.48
R1-CONV-18C	4.91	3.24	4.8	0.74	0	0.03	0	0.29	61.24	67.65	125.49	2.5
R1-CONV-NH4	4.26	3.25	5.51	0.64	0	0	0	0.28	65.04	68.4	132.57	2.28
R1-ECO-Control	11.66	3.22	7.38	0.27	2.33	0.28	0	1.61	1.73	3.61	4.74	7.02
R1-ECO-18C	9.62	3.13	6.81	0.2	2.1	0.19	0	1.28	20.49	28.08	42.76	5.12
R1-ECO-NH4	9.3	3	7.83	NA	3.17	0	0.06	0.8	21	28.24	43.45	5.23
R1-ECO-SO2	6.43	2.98	5	0.45	0.42	0.14	0.14	0.48	47.79	66.4	98.42	1.4
R2-CONV-Control	9.18	3.06	5.77	0.49	1.89	0.1	0	0.54	25.39	39.55	52.9	3.17
R2-CONV-18C	10.72	3.16	4.97	0.59	0.94	0.3	0	0.43	13.11	23.33	27.2	3.49
R2-CONV-NH4	10	3.09	6.47	0.46	1.91	0.13	0	0.41	17.62	28.86	36.11	3.29
R2-CONV-SO2	8.72	3.12	4.53	0.48	0.3	0.25	0	0.57	29.96	48.27	61.68	3.69
R2-ECO-Control	8.91	2.83	13.53	0.19	10.28	0	0	0.84	22.78	26.15	52.07	2.82
R2-ECO-18C	9.59	2.77	14.52	0.24	11.18	0	0	0.88	15.16	17.69	37.35	2.91
R2-ECO-NH4	9.36	2.82	13.51	0.02	10.36	0	0	0.39	18.14	20.28	41.77	2.54
R3A-CONV-Control	9.58	3.16	6.91	0.04	2.11	0.61	0.05	1.91	18.57	28.39	39.85	6.28
R3A-CONV-18C	10.04	3.05	8.72	0.13	4.55	0.02	0	1.16	16.14	24.47	35.72	4.55
R3A-CONV-NH4	9.45	2.84	13.04	0.04	9.79	0	0	0.52	18.24	22.13	41.59	2.7
R3A-ECO-Control	8.93	2.91	11.34	0.18	7.77	0	0	0.86	23.06	28.49	51.6	3.12
R3A-ECO-18C	9	2.89	11.66	0.23	7.91	0	0	1.05	22.3	27.45	50.03	3.54
