Sample_ID	Seq_ID	Origin	Farming	Condition	Variety
LM-CONV-18C	ITS-150	LM	CONV	18C	Tempranillo
LM-CONV-Control	ITS-132	LM	CONV	Control	Tempranillo
LM-CONV-NH4	ITS-167	LM	CONV	NH4	Tempranillo
LM-CONV-SO2	ITS-185	LM	CONV	SO2	Tempranillo
LM-ECO-18C	ITS-149	LM	ECO	18C	Tempranillo
LM-ECO-Control	ITS-131	LM	ECO	Control	Tempranillo
LM-ECO-NH4	ITS-166	LM	ECO	NH4	Tempranillo
LM-ECO-SO2	ITS-184	LM	ECO	SO2	Tempranillo
M-CONV-18C	ITS-148	M	CONV	18C	Tempranillo
M-CONV-Control	ITS-130	M	CONV	Control	Tempranillo
M-CONV-NH4	ITS-165	M	CONV	NH4	Tempranillo
M-CONV-SO2	ITS-183	M	CONV	SO2	Tempranillo
M-ECO-18C	ITS-147	M	ECO	18C	Tempranillo
M-ECO-Control	ITS-129	M	ECO	Control	Tempranillo
M-ECO-NH4	ITS-164	M	ECO	NH4	Tempranillo
M-ECO-SO2	ITS-182	M	ECO	SO2	Tempranillo
R1-CONV-18C	ITS-154	R1	CONV	18C	Tempranillo
R1-CONV-Control	ITS-136	R1	CONV	Control	Tempranillo
R1-CONV-NH4	ITS-171	R1	CONV	NH4	Tempranillo
R1-CONV-SO2	ITS-189	R1	CONV	SO2	Tempranillo
R1-ECO-18C	ITS-153	R1	ECO	18C	Tempranillo
R1-ECO-Control	ITS-135	R1	ECO	Control	Tempranillo
R1-ECO-NH4	ITS-170	R1	ECO	NH4	Tempranillo
R1-ECO-SO2	ITS-188	R1	ECO	SO2	Tempranillo
R2-CONV-18C	ITS-156	R2	CONV	18C	Tempranillo
R2-CONV-Control	ITS-138	R2	CONV	Control	Tempranillo
R2-CONV-NH4	ITS-173	R2	CONV	NH4	Tempranillo
R2-CONV-SO2	ITS-191	R2	CONV	SO2	Tempranillo
R2-ECO-18C	ITS-155	R2	ECO	18C	Tempranillo
R2-ECO-Control	ITS-137	R2	ECO	Control	Tempranillo
R2-ECO-NH4	ITS-172	R2	ECO	NH4	Tempranillo
R2-ECO-SO2	ITS-190	R2	ECO	SO2	Tempranillo
R3A-CONV-18C	NA	R3A	CONV	18C	Tempranillo
R3A-CONV-Control	ITS-140	R3A	CONV	Control	Tempranillo
R3A-CONV-NH4	ITS-175	R3A	CONV	NH4	Tempranillo
R3A-CONV-SO2	ITS-193	R3A	CONV	SO2	Tempranillo
R3A-ECO-18C	ITS-157	R3A	ECO	18C	Tempranillo
R3A-ECO-Control	ITS-139	R3A	ECO	Control	Tempranillo
R3A-ECO-NH4	ITS-174	R3A	ECO	NH4	Tempranillo
R3A-ECO-SO2	ITS-192	R3A	ECO	SO2	Tempranillo
R3B-CONV-18C	ITS-159	R3B	CONV	18C	Tempranillo
R3B-CONV-Control	ITS-142	R3B	CONV	Control	Tempranillo
R3B-CONV-NH4	ITS-177	R3B	CONV	NH4	Tempranillo
R3B-CONV-SO2	ITS-195	R3B	CONV	SO2	Tempranillo
R3B-ECO-18C	ITS-158	R3B	ECO	18C	Tempranillo
R3B-ECO-Control	ITS-141	R3B	ECO	Control	Tempranillo
R3B-ECO-NH4	ITS-176	R3B	ECO	NH4	Tempranillo
R3B-ECO-SO2	ITS-194	R3B	ECO	SO2	Tempranillo
R3C-CONV-18C	ITS-161	R3C	CONV	18C	Tempranillo
R3C-CONV-Control	ITS-144	R3C	CONV	Control	Tempranillo
R3C-CONV-NH4	ITS-179	R3C	CONV	NH4	Tempranillo
R3C-CONV-SO2	ITS-197	R3C	CONV	SO2	Tempranillo
R3C-ECO-18C	ITS-160	R3C	ECO	18C	Tempranillo
R3C-ECO-Control	ITS-143	R3C	ECO	Control	Tempranillo
R3C-ECO-NH4	ITS-178	R3C	ECO	NH4	Tempranillo
R3C-ECO-SO2	ITS-196	R3C	ECO	SO2	Tempranillo
RdG-CONV-18C	ITS-145	RdG	CONV	18C	Garnacha
RdG-CONV-Control	ITS-127	RdG	CONV	Control	Garnacha
RdG-CONV-NH4	ITS-162	RdG	CONV	NH4	Garnacha
RdG-CONV-SO2	ITS-180	RdG	CONV	SO2	Garnacha
RdG-ECO-18C	ITS-146	RdG	ECO	18C	Tempranillo
RdG-ECO-Control	ITS-128	RdG	ECO	Control	Tempranillo
RdG-ECO-NH4	ITS-163	RdG	ECO	NH4	Tempranillo
RdG-ECO-SO2	ITS-181	RdG	ECO	SO2	Tempranillo
VLP-CONV-18C	ITS-152	VLP	CONV	18C	Tempranillo
VLP-CONV-Control	ITS-134	VLP	CONV	Control	Tempranillo
VLP-CONV-NH4	ITS-169	VLP	CONV	NH4	Tempranillo
VLP-CONV-SO2	ITS-187	VLP	CONV	SO2	Tempranillo
VLP-ECO-18C	ITS-151	VLP	ECO	18C	Tempranillo
VLP-ECO-Control	ITS-133	VLP	ECO	Control	Tempranillo
VLP-ECO-NH4	ITS-168	VLP	ECO	NH4	Tempranillo
VLP-ECO-SO2	ITS-186	VLP	ECO	SO2	Tempranillo
