"Sample_ID"	"Genus"
"R1-ECO-SO2"	"Citeromyces"
"R2-ECO-18C"	"Citeromyces, Lachancea"
"R2-ECO-Control"	"Citeromyces, Lachancea"
"R3B-CONV-18C"	"Citeromyces, Lachancea, Saccharomyces"
"R3C-ECO-SO2"	"Citeromyces"
"M-CONV-18C"	"Hanseniaspora"
"M-CONV-Control"	"Hanseniaspora"
"M-CONV-NH4"	"Hanseniaspora"
"M-ECO-18C"	"Hanseniaspora"
"M-ECO-Control"	"Hanseniaspora"
"M-ECO-NH4"	"Hanseniaspora"
"R1-CONV-18C"	"Hanseniaspora"
"R1-CONV-Control"	"Hanseniaspora"
"R1-CONV-NH4"	"Hanseniaspora"
"R2-CONV-Control"	"Hanseniaspora, Lachancea"
"R2-CONV-NH4"	"Hanseniaspora, Lachancea"
"R2-CONV-SO2"	"Hanseniaspora"
"RdG-ECO-18C"	"Hanseniaspora"
"RdG-ECO-Control"	"Hanseniaspora"
"RdG-ECO-NH4"	"Hanseniaspora"
"VLP-CONV-18C"	"Hanseniaspora, Saccharomyces"
"VLP-CONV-Control"	"Hanseniaspora, Saccharomyces"
"VLP-CONV-NH4"	"Hanseniaspora, Saccharomyces"
"RdG-CONV-18C"	"Kluyveromyces"
"RdG-CONV-Control"	"Kluyveromyces"
"RdG-CONV-NH4"	"Kluyveromyces"
"RdG-CONV-SO2"	"Kluyveromyces"
"LM-ECO-18C"	"Lachancea, Torulaspora"
"LM-ECO-Control"	"Lachancea, Torulaspora"
"LM-ECO-NH4"	"Lachancea"
"R1-ECO-18C"	"Lachancea"
"R1-ECO-Control"	"Lachancea"
"R1-ECO-NH4"	"Lachancea"
"R2-CONV-18C"	"Lachancea"
"R2-ECO-NH4"	"Lachancea"
"R3A-CONV-18C"	"Lachancea"
"R3A-CONV-Control"	"Lachancea"
"R3A-CONV-NH4"	"Lachancea"
"R3A-ECO-18C"	"Lachancea"
"R3A-ECO-Control"	"Lachancea"
"R3A-ECO-NH4"	"Lachancea"
"R3B-CONV-Control"	"Lachancea, Saccharomyces"
"R3B-CONV-NH4"	"Lachancea, Saccharomyces"
"R3B-ECO-18C"	"Lachancea"
"R3B-ECO-Control"	"Lachancea"
"R3B-ECO-NH4"	"Lachancea"
"R3C-ECO-18C"	"Lachancea"
"R3C-ECO-Control"	"Lachancea"
"R3C-ECO-NH4"	"Lachancea"
"LM-CONV-18C"	"Saccharomyces"
"LM-CONV-Control"	"Saccharomyces"
"LM-CONV-NH4"	"Saccharomyces"
"LM-CONV-SO2"	"Saccharomyces"
"R3B-CONV-SO2"	"Saccharomyces"
"VLP-CONV-SO2"	"Saccharomyces"
"VLP-ECO-18C"	"Saccharomyces"
"VLP-ECO-Control"	"Saccharomyces"
"VLP-ECO-NH4"	"Saccharomyces"
"VLP-ECO-SO2"	"Saccharomyces"
