"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"perc"
"CnegITS2-RUN220222"	192	41	29	27	25	25	13,0208333333333
"LM-CONV-18C"	71661	63305	63294	63295	63210	63210	88,2069745049609
"LM-CONV-Control"	77879	68555	68529	68530	68525	68525	87,9890599519768
"LM-CONV-NH4"	71540	63063	63038	63041	62944	62944	87,9843444227006
"LM-CONV-SO2"	65569	57425	57411	57410	57410	57389	87,5245924140981
"LM-ECO-18C"	69905	62995	62919	62966	62853	54938	78,5895143408912
"LM-ECO-Control"	72975	66017	65950	65986	65905	57755	79,1435423090099
"LM-ECO-NH4"	75532	66044	66017	66020	65956	62139	82,268442514431
"M-CONV-18C"	97891	89303	89261	89278	89197	88810	90,7233555689491
"M-CONV-Control"	87147	79974	79951	79953	79914	79666	91,4156540098913
"M-CONV-NH4"	100434	92489	92365	92466	92337	91990	91,5924885994783
"M-ECO-18C"	93041	84576	84543	84536	84406	84164	90,4590449371782
"M-ECO-Control"	96202	86830	86796	86801	86707	86657	90,0781688530384
"M-ECO-NH4"	90466	81836	81810	81813	81760	81729	90,3422280193664
"R1-CONV-18C"	119177	64361	64313	64324	64263	63824	53,553957558925
"R1-CONV-Control"	123885	87638	87574	87575	87524	86791	70,0577148161601
"R1-CONV-NH4"	126676	76555	76456	76425	76338	75340	59,4745650320503
"R1-ECO-18C"	89525	81051	81033	81037	80976	80975	90,4495950851717
"R1-ECO-Control"	84180	77087	77061	77070	76843	76801	91,2342599192207
"R1-ECO-NH4"	76515	69533	69514	69514	69503	69503	90,8357838332353
"R1-ECO-SO2"	101967	91578	91530	91538	91269	88122	86,4220777310306
"R2-CONV-18C"	83309	61934	61903	61893	61879	61873	74,2692866316965
"R2-CONV-Control"	98707	66910	66865	66886	66857	66849	67,7246801138724
"R2-CONV-NH4"	97082	66631	66607	66597	66577	66565	68,5657485424693
"R2-CONV-SO2"	85595	74027	73990	73994	73979	73604	85,9910041474385
"R2-ECO-18C"	64311	57889	57866	57872	57842	56957	88,5649422338325
"R2-ECO-Control"	65444	59011	58984	58981	58963	58485	89,3664812664263
"R2-ECO-NH4"	84085	76344	76231	76323	76212	75777	90,1195219123506
"R3A-CONV-18C"	85616	78119	78105	78100	78098	78098	91,2189310409269
"R3A-CONV-Control"	78386	71244	71233	71234	71227	71227	90,8669915546143
"R3A-CONV-NH4"	69000	62937	62920	62920	62914	62914	91,1797101449275
"R3A-ECO-18C"	73420	67182	67162	67165	67160	67160	91,4737128847725
"R3A-ECO-Control"	88848	81059	81040	81041	81033	81033	91,2040788762831
"R3A-ECO-NH4"	63135	57109	57094	57087	57083	57083	90,4141918111982
"R3B-CONV-18C"	83347	75524	75485	75508	75398	64792	77,7376510252319
"R3B-CONV-Control"	56254	50450	50387	50420	50311	41877	74,4427062964411
"R3B-CONV-NH4"	55158	49800	49779	49763	49696	41388	75,0353529859676
"R3B-CONV-SO2"	60366	53071	53046	52978	52940	52706	87,3107378325548
"R3B-ECO-18C"	91511	83943	83921	83922	83915	83915	91,6993585470599
"R3B-ECO-Control"	105188	96611	96588	96592	96584	96560	91,7975434460205
"R3B-ECO-NH4"	91791	84180	84160	84093	84087	84087	91,6070202961075
"R3C-ECO-18C"	86453	79067	79061	79056	78971	77632	89,7967681861821
"R3C-ECO-Control"	83154	76203	76186	76190	76184	76184	91,6179618539096
"R3C-ECO-NH4"	81510	74650	74630	74636	74626	74517	91,4206845785793
"R3C-ECO-SO2"	83608	74879	74837	74837	74646	67433	80,653765189934
"RdG-CONV-18C"	75411	65285	65270	65266	65264	65264	86,5444033363833
"RdG-CONV-Control"	68235	58939	58903	58903	58898	58898	86,3164065362351
"RdG-CONV-NH4"	69136	60073	60049	59980	59978	59977	86,752198565147
"RdG-CONV-SO2"	69595	60339	60319	60316	60313	60313	86,6628349737769
"RdG-ECO-18C"	125517	114804	114686	114790	114647	114540	91,2545710939554
"RdG-ECO-Control"	97460	88742	88620	88716	88498	88027	90,3211573979068
"RdG-ECO-NH4"	81161	74240	74216	74223	74112	74073	91,2667414152117
"VLP-CONV-18C"	81434	71567	71540	71540	71500	71450	87,7397647174399
"VLP-CONV-Control"	78915	69703	69679	69678	69625	69531	88,1087245770766
"VLP-CONV-NH4"	87515	76595	76577	76578	76537	76537	87,455864708907
"VLP-CONV-SO2"	93242	79928	79903	79907	75557	75557	81,0332253705412
"VLP-ECO-18C"	81850	71154	71129	71132	70016	69917	85,4208918753818
"VLP-ECO-Control"	110277	96029	95975	95980	94274	94157	85,3822646608087
"VLP-ECO-NH4"	108670	94644	94607	94603	92835	92743	85,3437011134628
"VLP-ECO-SO2"	91489	80742	80707	80630	80622	80622	88,1220693198089
