"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0016054"	4.17661149960867e-05	0.99998778474146	25	55	"organic acid catabolic process"	"BP"
"GO:0046395"	4.17661149960867e-05	0.99998778474146	25	55	"carboxylic acid catabolic process"	"BP"
"GO:0044281"	5.94993249744557e-05	0.999964542749185	122	429	"small molecule metabolic process"	"BP"
"GO:0008204"	0.00011536764433309	0.99998104246594	13	22	"ergosterol metabolic process"	"BP"
"GO:0016128"	0.00011536764433309	0.99998104246594	13	22	"phytosteroid metabolic process"	"BP"
"GO:0044282"	0.000148032118815387	0.999941414799302	34	89	"small molecule catabolic process"	"BP"
"GO:0006696"	0.000330561450393392	0.999941601962822	12	21	"ergosterol biosynthetic process"	"BP"
"GO:0016129"	0.000330561450393392	0.999941601962822	12	21	"phytosteroid biosynthetic process"	"BP"
"GO:0044108"	0.000330561450393392	0.999941601962822	12	21	"cellular alcohol biosynthetic process"	"BP"
"GO:0097384"	0.000330561450393392	0.999941601962822	12	21	"cellular lipid biosynthetic process"	"BP"
"GO:0044107"	0.000378455635713572	0.99992421983809	13	24	"cellular alcohol metabolic process"	"BP"
"GO:1902652"	0.000378455635713639	0.99992421983809	13	24	"secondary alcohol metabolic process"	"BP"
"GO:0008202"	0.000408538163437236	0.999909863338497	14	27	"steroid metabolic process"	"BP"
"GO:0016125"	0.000408538163437236	0.999909863338497	14	27	"sterol metabolic process"	"BP"
"GO:0006694"	0.000588794010054325	0.999884632355667	12	22	"steroid biosynthetic process"	"BP"
"GO:0016126"	0.000588794010054325	0.999884632355667	12	22	"sterol biosynthetic process"	"BP"
"GO:0072329"	0.000637767859995512	0.999860909496556	13	25	"monocarboxylic acid catabolic process"	"BP"
"GO:0009063"	0.000662122866816205	0.999831800342742	15	31	"cellular amino acid catabolic process"	"BP"
"GO:0043486"	0.000782125490844904	0.999873105182503	10	17	"histone exchange"	"BP"
"GO:1901605"	0.00094678009063139	0.999555537987667	37	108	"alpha-amino acid metabolic process"	"BP"
"GO:1902653"	0.000997107750918751	0.999785493579946	12	23	"secondary alcohol biosynthetic process"	"BP"
"GO:0072521"	0.00110381570859694	0.999501731099335	33	94	"purine-containing compound metabolic process"	"BP"
