"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044281"	6.565920219597e-07	0.999999742329734	61	429	"small molecule metabolic process"	"BP"
"GO:0000103"	2.26173897843924e-05	0.999999152729612	6	9	"sulfate assimilation"	"BP"
"GO:0044283"	8.91130890944763e-05	0.999964149543629	35	200	"small molecule biosynthetic process"	"BP"
"GO:0009069"	0.000100392521588077	0.999986594384668	9	24	"serine family amino acid metabolic process"	"BP"
"GO:0000097"	0.000117014341350124	0.999986069510781	8	22	"sulfur amino acid biosynthetic process"	"BP"
"GO:1901605"	0.000131472353474429	0.99995807284456	21	108	"alpha-amino acid metabolic process"	"BP"
"GO:0043605"	0.000135105987167692	0.999995478245799	5	7	"cellular amide catabolic process"	"BP"
"GO:0006790"	0.000143583529711432	0.999959842531882	17	84	"sulfur compound metabolic process"	"BP"
"GO:0006820"	0.000269871912392826	0.999930119203952	14	71	"anion transport"	"BP"
"GO:0000096"	0.000333408606693209	0.999944970798926	9	28	"sulfur amino acid metabolic process"	"BP"
"GO:0019752"	0.00034619826796182	0.999846724841419	36	229	"carboxylic acid metabolic process"	"BP"
"GO:0000255"	0.000356379656103823	0.999992901873399	4	5	"allantoin metabolic process"	"BP"
"GO:0000256"	0.000356379656103823	0.999992901873399	4	5	"allantoin catabolic process"	"BP"
