"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0002181"	7.15942907051457e-09	0.999999998527303	29	140	"cytoplasmic translation"	"BP"
"GO:0043603"	5.22750732098956e-08	0.999999985823839	37	282	"cellular amide metabolic process"	"BP"
"GO:0006412"	6.14353397061933e-07	0.999999834940252	29	207	"translation"	"BP"
"GO:0006518"	6.14730032987952e-07	0.99999982816385	31	233	"peptide metabolic process"	"BP"
"GO:0043043"	1.07332410554935e-06	0.999999702329488	29	211	"peptide biosynthetic process"	"BP"
"GO:0015849"	2.11886288889421e-06	0.999999790419058	10	34	"organic acid transport"	"BP"
"GO:1903825"	3.58007047883951e-06	0.999999683211844	9	28	"organic acid transmembrane transport"	"BP"
"GO:0043604"	5.2777079607292e-06	0.999998363079841	30	242	"amide biosynthetic process"	"BP"
"GO:0046942"	1.2164930088635e-05	0.999998691244117	9	33	"carboxylic acid transport"	"BP"
"GO:1905039"	2.17164270824054e-05	0.999997896611985	8	27	"carboxylic acid transmembrane transport"	"BP"
"GO:1901566"	3.02016260046634e-05	0.999988005034016	46	524	"organonitrogen compound biosynthetic process"	"BP"
"GO:0098656"	3.14587934333976e-05	0.999995473809711	10	46	"anion transmembrane transport"	"BP"
"GO:0015711"	3.37289296833964e-05	0.999994447588641	11	60	"organic anion transport"	"BP"
"GO:0006820"	3.89155462165249e-05	0.999992832312941	12	71	"anion transport"	"BP"
"GO:1901564"	5.03403113463092e-05	0.999979737748482	69	1074	"organonitrogen compound metabolic process"	"BP"
"GO:0000096"	0.000119271173497367	0.999985038942585	8	28	"sulfur amino acid metabolic process"	"BP"
"GO:0000103"	0.000128389840148012	0.999994203809962	5	9	"sulfate assimilation"	"BP"
"GO:0006865"	0.00032586958756818	0.999976417509106	5	15	"amino acid transport"	"BP"
"GO:0043605"	0.000773845758664401	0.999965745816472	4	7	"cellular amide catabolic process"	"BP"
