"KEGG_ko"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"Symbol"	"Name"	"DEO"
"ko:K01669"	1028.17109670761	-23.4856132317278	1.5400999307458	3.5734830477725e-53	1.01201039912917e-49	"phr, PHR1"	"deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]"	1
"ko:K02725"	1131.95201724166	13.4113269307513	0.950084914232248	3.96049159464051e-47	3.73870406534064e-44	"PSMA1"	"20S proteasome subunit alpha 6 [EC:3.4.25.1]"	1
"ko:K02924"	3392.16628734087	10.8841155343617	0.765183347160888	3.46143653803704e-47	3.73870406534064e-44	"RP-L39e, RPL39"	"large subunit ribosomal protein L39e"	1
"ko:K00938"	491.28822493474	25.7717763119946	1.85990776605718	2.30415181030715e-44	1.63133948169746e-41	"E2.7.4.2, mvaK2"	"phosphomevalonate kinase [EC:2.7.4.2]"	1
"ko:K13357"	60.7438698210047	-21.0079519432864	1.55853531095819	3.08979384380617e-42	1.75005923313181e-39	"SPO1"	"putative meiotic phospholipase SPO1 [EC:3.1.1.-]"	1
"ko:K01094"	231.892261878673	27.1813444025779	2.23420244022591	8.07954469931541e-35	3.81354509807687e-32	"GEP4"	"phosphatidylglycerophosphatase GEP4 [EC:3.1.3.27]"	1
"ko:K06651"	146.043487697822	-28.3584999632733	2.44939421752791	7.97470590847557e-32	3.22633816182897e-29	"CLB5_6"	"S-phase entry cyclin 5/6"	1
"ko:K14416"	670.6297942127	23.4807624443108	2.0424486471972	2.67002026442597e-31	9.45187173606792e-29	"HBS1"	"elongation factor 1 alpha-like protein"	1
"ko:K00365"	812.302288605124	12.1413215118844	1.0857114031066	1.20275110474439e-30	3.62991416530338e-28	"uaZ"	"urate oxidase [EC:1.7.3.3]"	1
"ko:K11339"	406.275858468238	-11.7812392800688	1.05226190877008	1.28174935215515e-30	3.62991416530338e-28	"MORF4L1, MRG15, EAF3"	"mortality factor 4-like protein 1"	1
"ko:K11399"	166.599837859513	-24.6771132995118	2.20128283313504	7.08482666301103e-30	1.82402082814975e-27	"EAF7"	"chromatin modification-related protein EAF7"	1
