"KEGG_ko"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Symbol"	"Name"	"DEO"
"ko:K01638"	8839.02089453447	-4.73662802134447	0.249184297312986	-19.0002249500166	1.69815115031491e-80	4.47123197877917e-77	"aceB, glcB"	"malate synthase [EC:2.3.3.9]"	1
"ko:K14541"	11494.3762142501	-3.26655127711187	0.201769500732561	-16.1867721257446	6.25235354033789e-59	8.23122343585483e-56	"DUR1"	"urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]"	1
"ko:K00787"	16909.1488198137	-1.86592152731137	0.128727365958763	-14.4965788707509	1.27340280738014e-47	1.1176231972773e-44	"FDPS"	"farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]"	1
"ko:K00963"	7343.22292219784	7.51092105718702	0.542290424271949	13.9525169658376	3.03695541867023e-44	1.99907590433968e-41	"UGP2, galU, galF"	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	1
"ko:K01466"	2769.32561748753	-7.1011112020258	0.511935343025049	-13.7386440646748	5.95812051894936e-43	3.13754626527873e-40	"allB"	"allantoinase [EC:3.5.2.5]"	1
"ko:K08964"	716.636476996827	-1.93984934622663	0.17116550008862	-11.3305118538139	9.26616473975809e-30	4.06630195996384e-27	"mtnB"	"methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]"	1
"ko:K20989"	8468.2350126071	-4.68384581623172	0.427838214571262	-10.9414886191288	7.29914594182902e-28	2.74552160926226e-25	"DUR3"	"urea-proton symporter"	1
"ko:K00626"	26931.7689416439	-2.83706149989957	0.268430613410452	-10.5912297594339	3.27263878390672e-26	1.0771072397533e-23	"ACAT, atoB"	"acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"	1
"ko:K01649"	5450.92727513229	1.28433126424372	0.123831979576816	10.3711779056188	3.35365084109264e-25	9.81129184955213e-23	"leuA, IMS"	"2-isopropylmalate synthase [EC:2.3.3.13]"	1
"ko:K16261"	81221.2277670688	-1.53362629833348	0.15381340211217	-9.97072477242099	2.04729351029721e-23	5.39052381261254e-21	"YAT"	"yeast amino acid transporter"	1
