"KEGG_ko"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Symbol"	"Name"	"DEO"
"ko:K14541"	11494.3762142501	-3.83517575591933	0.202252407664708	-18.9598775561505	3.6599513041425e-80	9.83062920292675e-77	"DUR1"	"urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]"	1
"ko:K01638"	8839.02089453447	-4.15621594063665	0.248468429271491	-16.7202607809723	9.33100277099047e-63	1.25315367214402e-59	"aceB, glcB"	"malate synthase [EC:2.3.3.9]"	1
"ko:K10746"	612.487220935933	-2.16792928132849	0.151672367837562	-14.2846919119165	2.7261241783041e-46	2.4407898476416e-43	"EXO1"	"exonuclease 1 [EC:3.1.-.-]"	1
"ko:K00963"	7343.22292219784	5.73439806725701	0.542388403037296	11.0138098602111	3.27840532525103e-28	1.76115934072486e-25	"UGP2, galU, galF"	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	1
"ko:K01466"	2769.32561748753	-5.46847057206342	0.500056543910189	-11.0168731637803	3.16875922373015e-28	1.76115934072486e-25	"allB"	"allantoinase [EC:3.5.2.5]"	1
"ko:K20989"	8468.2350126071	-4.55766468889412	0.427825758702473	-10.6422561632798	1.89484664979959e-26	8.48259683560285e-24	"DUR3"	"urea-proton symporter"	1
"ko:K01476"	2932.21835418877	-9.99403244613274	0.57774344301169	-9.90890027465444	3.80814627959353e-23	1.46124012956975e-20	"E3.5.3.1, rocF, arg"	"arginase [EC:3.5.3.1]"	1
"ko:K00966"	3088.16223758664	-9.19551063385456	0.546466778610852	-9.73955042258416	2.04456881013772e-22	6.86463978003739e-20	"GMPP"	"mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	1
"ko:K19880"	778.154340909296	-1.23173758089635	0.134828936086989	-9.1348384529918	6.55045012744831e-20	1.95494544914735e-17	"CHS6, BCH2"	"Chs5-Arf1p-binding protein CHS6/BCH2"	1
"ko:K00311"	633.22415657223	-0.877617087715428	0.10596255595201	-8.28255406765388	1.2056119126698e-16	3.23827359743108e-14	"ETFDH"	"electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]"	0
"ko:K16261"	81221.2277670688	-1.26850490922112	0.153802799624925	-8.2475289108384	1.61703385861033e-16	3.94850267657031e-14	"YAT"	"yeast amino acid transporter"	1
"ko:K07870"	467.417673018776	-7.41826460367706	0.510971198470671	-8.05962350189249	7.6529788717813e-16	1.71299177080038e-13	"RHOT1, ARHT1"	"mitochondrial Rho GTPase 1 [EC:3.6.5.-]"	1
"ko:K14405"	316.334928640516	-7.76739183568522	0.564852520589259	-7.96494690642817	1.65294733251203e-15	3.41524348855948e-13	"FIP1L1, FIP1"	"pre-mRNA 3'-end-processing factor FIP1"	1
