"KEGG_ko"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Symbol"	"Name"	"DEO"
"ko:K18693"	3359.63241140065	-4.59651142669676	0.319498194495915	-14.3724397121559	7.70677727333072e-47	1.98911921424666e-43	"DPP1, DPPL, PLPP4_5"	"diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.6.1.75 3.1.3.4]"	1
"ko:K00963"	7343.22292219784	6.484639991756	0.542359171338997	12.1866988734676	3.6594704210784e-34	4.72254657840167e-31	"UGP2, galU, galF"	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	1
"ko:K17742"	449.135119447961	-7.88342614369492	0.538216601399257	-8.32235674011171	8.62313148672463e-17	7.41876745574543e-14	"SOU1"	"sorbose reductase [EC:1.1.1.289]"	1
"ko:K07305"	202.891033685913	-6.95610111391583	0.633575401994634	-7.27351395663066	3.50254588839415e-13	2.26001773448633e-10	"msrB"	"peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"	1
"ko:K12191"	619.626014627356	4.71105977281115	0.715017155435521	7.01297927807678	2.3329601550755e-12	1.20427403204997e-09	"CHMP2A"	"charged multivesicular body protein 2A"	1
"ko:K18466"	625.431055062934	-0.449364133156831	0.578854849410728	-6.84249171771735	7.78274065175586e-12	3.34787560369698e-09	"VPS26A_B"	"vacuolar protein sorting-associated protein 26A/B"	0
"ko:K10589"	404.647131787396	4.92429488640595	0.687083330590615	6.76259758527431	1.35539324118355e-11	4.99752850784965e-09	"UBE3C"	"ubiquitin-protein ligase E3 C [EC:2.3.2.26]"	1
"ko:K01487"	252.335816676286	0.664115551989946	0.637084472250499	6.71835334895389	1.83789582888005e-11	5.92951141792427e-09	"guaD, GDA"	"guanine deaminase [EC:3.5.4.3]"	0
"ko:K11245"	787.996290871277	1.33877899929999	0.206420014856955	6.48871087186795	8.65739225967999e-11	2.48274771358156e-08	"MID2, MTL1"	"mating pheromone-induced death protein 2"	1
"ko:K20048"	720.35165747264	0.421689150854289	0.567813220908867	6.36197545980665	1.99175270468478e-10	5.14071373079142e-08	"END3"	"actin cytoskeleton-regulatory complex protein END3"	0
"ko:K00801"	698.364332531078	-0.0459270979525376	0.474841820884136	-6.26898980013828	3.63397931165309e-10	7.21484661798202e-08	"FDFT1"	"farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]"	0
"ko:K01549"	396.445692085465	0.407938695176264	0.474830149355201	6.26992681861954	3.61217833086467e-10	7.21484661798202e-08	"TIM11, ATP21"	"F-type H+-transporting ATP synthase subunit e"	0
"ko:K15620"	513.977600669143	0.402032579909664	0.474841772009307	6.26989494389715	3.61291783630851e-10	7.21484661798202e-08	"GOLPH3, GPP34"	"golgi phosphoprotein 3"	0
"ko:K18658"	1348.80236441841	-1.08350023786383	0.180982613905086	-5.9860541349785	2.14992837340173e-09	3.96354652267848e-07	"ASH1"	"transcriptional regulatory protein ASH1"	1
"ko:K14538"	383.02367476692	-0.35376913128453	0.474825814218535	-5.9740664759465	2.31411433378355e-09	3.9818193969969e-07	"NUG1, GNL3"	"nuclear GTP-binding protein"	0
"ko:K01641"	1768.33719472152	-0.67043327966414	0.474873647621716	-5.72934023664894	1.00821993873257e-08	1.62638478866798e-06	"HMGCS"	"hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]"	0
"ko:K00411"	1150.94849840285	1.58697872721158	0.770210878873843	5.64479103821187	1.65381993396782e-08	2.51088779386527e-06	"UQCRFS1, RIP1, petA"	"ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"	1
"ko:K00015"	1640.0922268241	-3.17087452075031	0.595452303423081	-5.41704996276647	6.05904135980458e-08	8.68799208314201e-06	"gyaR, GOR1"	"glyoxylate reductase [EC:1.1.1.26]"	1
"ko:K13348"	274.859469184068	-0.250412569170023	0.532086060037834	-5.37006348891572	7.87089274105194e-08	1.069198640245e-05	"MPV17"	"protein Mpv17"	0
"ko:K15014"	757.685348965039	-0.531908523902757	0.101425592919844	-5.24419699467937	1.56964426042145e-07	2.02562591807388e-05	"SLC29A1_2_3, ENT1_2_3"	"solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3"	0
"ko:K07874"	1832.50230894823	0.394762146937173	0.479345704160947	5.22796113529144	1.71389525115787e-07	2.1064588777326e-05	"RAB1A"	"Ras-related protein Rab-1A"	0
"ko:K02951"	2065.20180972855	-0.0630314990640043	0.474878267801706	-5.21248855431853	1.86324067538088e-07	2.18592008325366e-05	"RP-S12e, RPS12"	"small subunit ribosomal protein S12e"	0
"ko:K09117"	615.227884860099	-0.309818207192412	0.474852429981727	-5.12048195424382	3.04755780694805e-07	3.4198898694491e-05	"K09117"	"uncharacterized protein"	0
"ko:K00003"	621.193850060633	-0.122698081938561	0.474850078869424	-4.9780105253288	6.42411636671499e-07	6.90860180937142e-05	"hom"	"homoserine dehydrogenase [EC:1.1.1.3]"	0
"ko:K12669"	198.906010515403	0.41888356420008	0.484099300450263	4.95888850367039	7.08976401491659e-07	7.31947236899989e-05	"OST3, OST6"	"oligosaccharyltransferase complex subunit gamma"	0
"ko:K15196"	1045.01653822281	0.691566164968571	0.140443469974661	4.92387533086197	8.48469026224978e-07	8.42268675648718e-05	"BRF1, GTF3B"	"transcription factor IIIB 90 kDa subunit"	0
"ko:K03007"	135.048123596466	-0.351703337823569	0.474706970105746	-4.89676149860647	9.74289686235735e-07	8.52853712231792e-05	"RPABC5, RPB10, POLR2L"	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	0
"ko:K03137"	140.121233470518	-0.429461224443381	0.474713517568523	-4.90378842341729	9.40057429584504e-07	8.52853712231792e-05	"TFIIE2, GTF2E2, TFA2"	"transcription initiation factor TFIIE subunit beta"	0
"ko:K10771"	150.524794584777	-0.333000984933077	0.474724883949474	-4.91168504999136	9.02970118197108e-07	8.52853712231792e-05	"APEX1"	"AP endonuclease 1 [EC:4.2.99.18]"	0
"ko:K12625"	99.9759937509042	-0.371593907530432	0.47464230700864	-4.89335647643872	9.91306135875775e-07	8.52853712231792e-05	"LSM6"	"U6 snRNA-associated Sm-like protein LSm6"	0
"ko:K03661"	136.165820057013	0.661022482852921	0.474652402184764	4.80118116940335	1.57732485340993e-06	0.000131325014408098	"ATPeV0B, ATP6F"	"V-type H+-transporting ATPase 21kDa proteolipid subunit"	0
