Sample_ID	Origin	Farming	Condition	Region	Stage	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	Ethyl.acetate	Fusel.alcohol.acetates	Fusel.alcohols	EEFA	SCFA	MCFA
LM-CONV-Control	LM	CONV	Control	La Mancha	3_end	0.23	7	0.34	9.43	0.05	2.3	13	13.74	1.25	0.03	2.15	3.33	27.020	3.602	951.972	2.287	0.000	1.308
LM-CONV-18C	LM	CONV	18C	La Mancha	3_end	0.22	11	3.56	7.31	0.01	2.28	7	13.82	1.02	0	1.75	3.35	304.502	2.553	272.755	0.000	0.000	1.610
LM-CONV-NH4	LM	CONV	NH4	La Mancha	3_end	0.19	12	0.03	9.95	0	1.51	60	13.25	1.02	0.14	1.43	3.27	103.947	9.327	384.812	0.487	4.155	2.800
LM-CONV-SO2	LM	CONV	SO2	La Mancha	3_end	0.23	18	0.1	8.67	0	2.69	26	13.75	1.52	0.05	1.98	3.35	7.495	3.297	437.155	0.000	0.000	4.088
LM-ECO-Control	LM	ECO	Control	La Mancha	3_end	0.51	12	7.76	9.86	2.24	1.42	32	15.99	0.67	0.13	1.81	3.59	26.532	2.168	580.636	1.980	0.000	1.308
LM-ECO-18C	LM	ECO	18C	La Mancha	3_end	0.15	13	0.57	9.17	0.02	1.97	30	17.22	0.43	0.05	1.63	3.5	51.266	7.078	600.380	1.015	1.767	4.108
LM-ECO-NH4	LM	ECO	NH4	La Mancha	3_end	0.31	76	1.07	9.26	2.85	1.31	76	16.53	0.45	0.1	0.89	3.43	12.515	1.765	561.512	3.098	2.001	0.825
LM-ECO-SO2	LM	ECO	SO2	La Mancha	3_end	0.13	23	2.12	9.69	0.02	1.73	48	16.41	1.42	0.06	2.1	3.62	4.991	5.020	646.420	0.000	1.408	5.353
M-CONV-Control	M	CONV	Control	Madrid	3_end	0.47	33	177.55	5.05	0.03	1.52	30	7.34	0.83	0	0.12	3.88	67.251	8.766	191.558	0.999	0.000	0.118
M-CONV-18C	M	CONV	18C	Madrid	3_end	0.67	57	167.57	6.31	0.03	1.3	24	8.01	0.6	0	0.16	4.03	210.695	2.542	160.093	0.000	0.000	2.205
M-CONV-NH4	M	CONV	NH4	Madrid	3_end	0.47	232	168.6	5.01	0.04	1.6	68	7.75	1.06	0	0.04	4.22	33.936	23.261	178.186	0.000	0.000	1.611
M-CONV-SO2	M	CONV	SO2	Madrid	3_end	0.52	24	170.77	6.23	0.08	1.21	41	7.61	0.74	0	0.17	3.76	211.181	33.978	332.552	0.000	0.000	0.000
M-ECO-Control	M	ECO	Control	Madrid	3_end	0.63	60	160.78	7.62	1.25	0.43	16	7.66	0.16	0.03	0.35	3.31	92.563	2.756	584.430	0.000	0.000	2.303
M-ECO-18C	M	ECO	18C	Madrid	3_end	0.58	72	169.57	8.32	0.63	0.39	12	6.93	0.51	0	0.3	3.42	315.400	38.640	656.045	0.000	0.000	1.245
M-ECO-NH4	M	ECO	NH4	Madrid	3_end	0.65	232	152.27	7.88	1.68	0.29	42	7.86	0.1	0	0.24	3.38	333.423	103.999	721.678	0.000	0.000	1.956
M-ECO-SO2	M	ECO	SO2	Madrid	3_end	0.6	26	172.14	7.17	0.04	0.88	35	7.08	0.24	0	0.39	3.65	48.865	49.054	443.360	0.000	0.000	1.886
R1-CONV-Control	R1	CONV	Control	Rioja	3_end	0.37	16	0.18	7.47	0.07	1.17	25	14.53	1.53	0	1.1	3.49	34.407	7.349	283.470	0.000	0.000	5.303
R1-CONV-18C	R1	CONV	18C	Rioja	3_end	0.4	69	114.13	5.88	0.03	1.02	17	7.5	1.07	0	0.18	3.22	228.665	103.897	431.137	0.000	0.000	2.786
R1-CONV-NH4	R1	CONV	NH4	Rioja	3_end	0.4	230	103.77	5.41	0.4	1.09	55	8.01	0.86	0	0.31	3.43	124.726	36.130	259.259	0.000	0.000	1.299
