Seq_ID	Origin	Farming	Condition	Stage	Time	Latitude	Longitude	Variety	Date	Density_must	pH_must	Acetic_acid	Ammonia	Sugars	Glycerol	Lactic_acid	Malic_acid	PAN	Ethanol	Tartaric_acid	Citric_acid	Succinic_acid	pH	CFU	CFU_max	Total_fermentation_days	Weight_loss_max	Weight_loss_average	Time_hours_CFU_max	Region
ITS-60	LM	CONV	Control	0_initial	0	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0	24	198.7	0	0	2.48	40	NA	NA	NA	NA	NA	NA	6.00E+07	24	0.501393875	0.19	192	La Mancha
ITS-78	LM	CONV	18C	0_initial	0	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0	25	229.79	0	0	2.69	45	NA	NA	NA	NA	NA	NA	6.80E+07	43	0.511393207	0.11	216	La Mancha
ITS-96	LM	CONV	NH4	0_initial	0	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0	403	227.07	0	0	2.41	62	NA	NA	NA	NA	NA	NA	1.12E+08	22	1.252840258	0.22	96	La Mancha
ITS-114	LM	CONV	SO2	0_initial	0	39.183196	-2.169892	Tempranillo	29/08/2020	1088	3.54	0	20	200.96	0	0	2.81	40	NA	NA	NA	NA	NA	NA	3.52E+08	29	0.568482823	0.17	72	La Mancha
ITS-59	LM	ECO	Control	0_initial	0	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0	58	227.74	0	0	2.1	93	NA	NA	NA	NA	NA	NA	1.60E+08	34	0.903728881	0.18	192	La Mancha
ITS-77	LM	ECO	18C	0_initial	0	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0	63	266.21	0	0	2.21	101	NA	NA	NA	NA	NA	NA	8.00E+07	43	0.67623322	0.13	192	La Mancha
ITS-95	LM	ECO	NH4	0_initial	0	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0	392	269.91	0	0	2.13	109	NA	NA	NA	NA	NA	NA	4.48E+07	22	1.183219075	0.25	120	La Mancha
ITS-113	LM	ECO	SO2	0_initial	0	39.0944483	-2.3329039	Tempranillo	29/08/2020	1103	3.8	0	58	245.96	0	0	2.17	92	NA	NA	NA	NA	NA	NA	1.20E+08	27	2.025581969	0.22	264	La Mancha
ITS-58	M	CONV	Control	0_initial	0	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0	77	254.29	0	0	1.62	95	NA	NA	NA	NA	NA	NA	4.00E+06	20	0.503947589	0.14	96	Madrid
ITS-76	M	CONV	18C	0_initial	0	40.0997	-3.390333	Tempranillo	02/09/2020	1111	3.74	0	45	248.97	0	0	1.44	96	NA	NA	NA	NA	NA	NA	4.40E+07	41	0.310613352	0.07	144	Madrid
