Sample_ID	Origin	Farming	Condition	Assay
ITS-60	LM	CONV	Control	GM
ITS-78	LM	CONV	18C	GM
ITS-96	LM	CONV	NH4	GM
ITS-114	LM	CONV	SO2	GM
ITS-59	LM	ECO	Control	GM
ITS-77	LM	ECO	18C	GM
ITS-95	LM	ECO	NH4	GM
ITS-113	LM	ECO	SO2	GM
ITS-58	M	CONV	Control	GM
ITS-76	M	CONV	18C	GM
ITS-94	M	CONV	NH4	GM
ITS-112	M	CONV	SO2	GM
ITS-57	M	ECO	Control	GM
ITS-75	M	ECO	18C	GM
ITS-93	M	ECO	NH4	GM
ITS-111	M	ECO	SO2	GM
ITS-64	R1	CONV	Control	GM
ITS-82	R1	CONV	18C	GM
ITS-100	R1	CONV	NH4	GM
ITS-118	R1	CONV	SO2	GM
ITS-63	R1	ECO	Control	GM
ITS-81	R1	ECO	18C	GM
ITS-99	R1	ECO	NH4	GM
ITS-117	R1	ECO	SO2	GM
ITS-66	R2	CONV	Control	GM
ITS-84	R2	CONV	18C	GM
ITS-102	R2	CONV	NH4	GM
ITS-120	R2	CONV	SO2	GM
ITS-65	R2	ECO	Control	GM
ITS-83	R2	ECO	18C	GM
ITS-101	R2	ECO	NH4	GM
ITS-119	R2	ECO	SO2	GM
ITS-68	R3A	CONV	Control	GM
ITS-86	R3A	CONV	18C	GM
ITS-104	R3A	CONV	NH4	GM
ITS-122	R3A	CONV	SO2	GM
ITS-67	R3A	ECO	Control	GM
ITS-85	R3A	ECO	18C	GM
ITS-103	R3A	ECO	NH4	GM
ITS-121	R3A	ECO	SO2	GM
ITS-70	R3B	CONV	Control	GM
ITS-88	R3B	CONV	18C	GM
ITS-106	R3B	CONV	NH4	GM
ITS-124	R3B	CONV	SO2	GM
ITS-69	R3B	ECO	Control	GM
ITS-87	R3B	ECO	18C	GM
ITS-105	R3B	ECO	NH4	GM
ITS-123	R3B	ECO	SO2	GM
ITS-72	R3C	CONV	Control	GM
ITS-90	R3C	CONV	18C	GM
ITS-108	R3C	CONV	NH4	GM
ITS-126	R3C	CONV	SO2	GM
ITS-71	R3C	ECO	Control	GM
ITS-89	R3C	ECO	18C	GM
ITS-107	R3C	ECO	NH4	GM
ITS-125	R3C	ECO	SO2	GM
ITS-56	RdG	CONV	Control	GM
ITS-74	RdG	CONV	18C	GM
ITS-92	RdG	CONV	NH4	GM
ITS-110	RdG	CONV	SO2	GM
ITS-55	RdG	ECO	Control	GM
ITS-73	RdG	ECO	18C	GM
ITS-91	RdG	ECO	NH4	GM
ITS-109	RdG	ECO	SO2	GM
ITS-62	VLP	CONV	Control	GM
ITS-80	VLP	CONV	18C	GM
ITS-98	VLP	CONV	NH4	GM
ITS-116	VLP	CONV	SO2	GM
ITS-61	VLP	ECO	Control	GM
ITS-79	VLP	ECO	18C	GM
ITS-97	VLP	ECO	NH4	GM
ITS-115	VLP	ECO	SO2	GM
LM-CONV-18C	LM	CONV	18C	SGM
LM-CONV-Control	LM	CONV	Control	SGM
LM-CONV-NH4	LM	CONV	NH4	SGM
LM-CONV-SO2	LM	CONV	SO2	SGM
LM-ECO-18C	LM	ECO	18C	SGM
LM-ECO-Control	LM	ECO	Control	SGM
LM-ECO-NH4	LM	ECO	NH4	SGM
M-CONV-18C	M	CONV	18C	SGM
M-CONV-Control	M	CONV	Control	SGM
M-CONV-NH4	M	CONV	NH4	SGM
M-ECO-18C	M	ECO	18C	SGM
M-ECO-Control	M	ECO	Control	SGM
M-ECO-NH4	M	ECO	NH4	SGM
R1-CONV-18C	R1	CONV	18C	SGM
R1-CONV-Control	R1	CONV	Control	SGM
R1-CONV-NH4	R1	CONV	NH4	SGM
R1-ECO-18C	R1	ECO	18C	SGM
R1-ECO-Control	R1	ECO	Control	SGM
R1-ECO-NH4	R1	ECO	NH4	SGM
R1-ECO-SO2	R1	ECO	SO2	SGM
R2-CONV-18C	R2	CONV	18C	SGM
R2-CONV-Control	R2	CONV	Control	SGM
R2-CONV-NH4	R2	CONV	NH4	SGM
R2-CONV-SO2	R2	CONV	SO2	SGM
R2-ECO-18C	R2	ECO	18C	SGM
R2-ECO-Control	R2	ECO	Control	SGM
R2-ECO-NH4	R2	ECO	NH4	SGM
R3A-CONV-18C	R3A	CONV	18C	SGM
R3A-CONV-Control	R3A	CONV	Control	SGM
R3A-CONV-NH4	R3A	CONV	NH4	SGM
R3A-ECO-18C	R3A	ECO	18C	SGM
R3A-ECO-Control	R3A	ECO	Control	SGM
R3A-ECO-NH4	R3A	ECO	NH4	SGM
R3B-CONV-18C	R3B	CONV	18C	SGM
R3B-CONV-Control	R3B	CONV	Control	SGM
R3B-CONV-NH4	R3B	CONV	NH4	SGM
R3B-CONV-SO2	R3B	CONV	SO2	SGM
R3B-ECO-18C	R3B	ECO	18C	SGM
R3B-ECO-Control	R3B	ECO	Control	SGM
R3B-ECO-NH4	R3B	ECO	NH4	SGM
R3C-ECO-18C	R3C	ECO	18C	SGM
R3C-ECO-Control	R3C	ECO	Control	SGM
R3C-ECO-NH4	R3C	ECO	NH4	SGM
R3C-ECO-SO2	R3C	ECO	SO2	SGM
RdG-CONV-18C	RdG	CONV	18C	SGM
RdG-CONV-Control	RdG	CONV	Control	SGM
RdG-CONV-NH4	RdG	CONV	NH4	SGM
RdG-CONV-SO2	RdG	CONV	SO2	SGM
RdG-ECO-18C	RdG	ECO	18C	SGM
RdG-ECO-Control	RdG	ECO	Control	SGM
RdG-ECO-NH4	RdG	ECO	NH4	SGM
VLP-CONV-18C	VLP	CONV	18C	SGM
VLP-CONV-Control	VLP	CONV	Control	SGM
VLP-CONV-NH4	VLP	CONV	NH4	SGM
VLP-CONV-SO2	VLP	CONV	SO2	SGM
VLP-ECO-18C	VLP	ECO	18C	SGM
VLP-ECO-Control	VLP	ECO	Control	SGM
VLP-ECO-NH4	VLP	ECO	NH4	SGM
VLP-ECO-SO2	VLP	ECO	SO2	SGM
