Sample_ID	Origin	Farming	Condition	Ethanol	pH	Total_acidity	Acetic_acid	Lactic_acid	Tartaric_acid	Citric_acid	Succinic_acid	Glucose	Fructose	Sugars	Glycerol	Ethyl acetate	Fusel alcohol acetates	Fusel alcohols	EEFA	SCFA	MCFA
LM-CONV-18C	LM	CONV	18C	11.98	3.41	4.47	0.29	0	0.48	0	0.66	0.47	2	0.61	4.21	0	1.18	106.07	3.12	0	2.61
LM-CONV-Control	LM	CONV	Control	12.31	3.43	4.52	0.42	0	0.32	0	0.65	0	0.98	0	4.43	2	0.67	153.13	5.52	0	0.65
LM-CONV-NH4	LM	CONV	NH4	12.36	3.38	4.96	0.41	0	0.25	0	0.28	0	0.49	0	4.35	0	1.19	112.27	9.14	0.49	0.98
LM-CONV-SO2	LM	CONV	SO2	11.78	3.46	4.7	0.45	0	0.65	0	0.86	0	0.1	0	4.19	1.64	2.12	167.98	3.83	0.52	0.63
LM-ECO-18C	LM	ECO	18C	9.52	3.2	6.71	0.17	1.69	0.72	0.03	1.54	16.13	24.38	34.29	5.4						
LM-ECO-Control	LM	ECO	Control	8.88	3.17	7.39	NA	2.56	0.41	0.12	1.56	23.8	31.62	50.81	6.14	0	2.91	159.38	1.44	1.94	0.17
LM-ECO-NH4	LM	ECO	NH4	9.18	3.15	7.45	NA	2.21	0.27	0.12	1.34	20.22	27.06	42.37	6.54	0	4.03	106.55	2.28	3.27	0.53
M-CONV-18C	M	CONV	18C	5.39	3.25	4.94	0.54	0.03	0.41	0.07	0.29	55.96	65.33	115.72	2.87	0	15.56	161.32	10.67	0	2.63
M-CONV-Control	M	CONV	Control	6.24	3.39	5.04	0.75	0	0.5	0.02	0.28	50.62	54.83	102.88	3.04	0	5.07	61.34	4.47	0.57	2.37
M-CONV-NH4	M	CONV	NH4	6.98	3.34	5.28	0.45	0	0.2	0	0.37	43.1	49.71	87.21	3.44	0	5.49	114.05	1.46	0.87	3.67
M-ECO-18C	M	ECO	18C	4.79	3.2	5.01	1.11	0	0.42	0	0.25	60.65	68.05	123.9	3.57	0	17.63	92.48	8.79	0	3.3
M-ECO-Control	M	ECO	Control	5.75	3.24	5.02	1.58	0	0.54	0	0.1	51.01	58.94	105.07	3.67	0	20.15	115.58	4.58	0.57	0.38
M-ECO-NH4	M	ECO	NH4	5.84	3.2	5.54	1.49	0	0.13	0	0.08	49.87	58.63	101.84	3.7	0	28.43	134.48	4.34	0.94	0.48
R1-CONV-18C	R1	CONV	18C	4.91	3.24	4.8	0.74	0	0.03	0	0.29	61.24	67.65	125.49	2.5	0	26.77	167.9	1.89	0.68	0.12
R1-CONV-Control	R1	CONV	Control	11.16	3.23	5.44	1.6	0	0.34	0	0.57	1.22	3.26	2.11	5.48	0	4.43	132.31	5.41	1.23	0.64
R1-CONV-NH4	R1	CONV	NH4	4.26	3.25	5.51	0.64	0	0	0	0.28	65.04	68.4	132.57	2.28	0	29.67	137.59	1.01	0.63	0.94
R1-ECO-18C	R1	ECO	18C	9.62	3.13	6.81	0.2	2.1	0.19	0	1.28	20.49	28.08	42.76	5.12	0.5	6.89	122.38	0.43	1.83	1.97
R1-ECO-Control	R1	ECO	Control	11.66	3.22	7.38	0.27	2.33	0.28	0	1.61	1.73	3.61	4.74	7.02	0	1.13	188.74	6.56	6.2	3.6
R1-ECO-NH4	R1	ECO	NH4	9.3	3	7.83	NA	3.17	0	0.06	0.8	21	28.24	43.45	5.23	1.04	20.15	263.49	1.45	1.52	2.99
R1-ECO-SO2	R1	ECO	SO2	6.43	2.98	5	0.45	0.42	0.14	0.14	0.48	47.79	66.4	98.42	1.4	0.34	35.16	96.06	6.48	2.24	2.92
R2-CONV-18C	R2	CONV	18C	10.72	3.16	4.97	0.59	0.94	0.3	0	0.43	13.11	23.33	27.2	3.49	6.08	43.91	140.95	15.13	1.4	1.79
R2-CONV-Control	R2	CONV	Control	9.18	3.06	5.77	0.49	1.89	0.1	0	0.54	25.39	39.55	52.9	3.17	0.85	6.56	87.88	1.49	1.62	3.06
R2-CONV-NH4	R2	CONV	NH4	10	3.09	6.47	0.46	1.91	0.13	0	0.41	17.62	28.86	36.11	3.29	0.38	14.74	63.24	2.47	2.42	1.53
R2-CONV-SO2	R2	CONV	SO2	8.72	3.12	4.53	0.48	0.3	0.25	0	0.57	29.96	48.27	61.68	3.69	1.3	36.33	80.27	2.38	2.81	2.53
R2-ECO-18C	R2	ECO	18C	9.59	2.77	14.52	0.24	11.18	0	0	0.88	15.16	17.69	37.35	2.91	0.95	28.64	176.12	1.7	2.02	1.95
R2-ECO-Control	R2	ECO	Control	8.91	2.83	13.53	0.19	10.28	0	0	0.84	22.78	26.15	52.07	2.82	0.28	7.33	172.87	0.46	1.25	1.26
R2-ECO-NH4	R2	ECO	NH4	9.36	2.82	13.51	0.02	10.36	0	0	0.39	18.14	20.28	41.77	2.54	0.11	10.59	114.81	1.29	3.37	0.24
R3A-CONV-18C	R3A	CONV	18C	10.04	3.05	8.72	0.13	4.55	0.02	0	1.16	16.14	24.47	35.72	4.55	0.46	16.18	165.11	0.63	2.51	2.07
R3A-CONV-Control	R3A	CONV	Control	9.58	3.16	6.91	0.04	2.11	0.61	0.05	1.91	18.57	28.39	39.85	6.28	2.86	4.41	99.22	0.27	1.76	0.31
R3A-CONV-NH4	R3A	CONV	NH4	9.45	2.84	13.04	0.04	9.79	0	0	0.52	18.24	22.13	41.59	2.7	0	7.38	85.04	0.56	3.12	0.56
R3A-ECO-18C	R3A	ECO	18C	9	2.89	11.66	0.23	7.91	0	0	1.05	22.3	27.45	50.03	3.54	0.76	21.28	183.21	0	1.34	15.5
R3A-ECO-Control	R3A	ECO	Control	8.93	2.91	11.34	0.18	7.77	0	0	0.86	23.06	28.49	51.6	3.12	0.58	16.42	257.31	0	3.38	5.89
R3A-ECO-NH4	R3A	ECO	NH4	9.35	3.06	7.26	NA	2.57	0.04	0	1.08	21.59	32.2	45.18	5.05	0.53	3.32	153	0	5.04	13.78
R3B-CONV-18C	R3B	CONV	18C	10.68	3.16	7.35	0.15	3.11	0.31	0	1.07	5.5	10.21	12.69	4.24	0	42	191.23	4.18	17.42	13.68
R3B-CONV-Control	R3B	CONV	Control	12.13	3.25	7.51	0.25	2.31	0.68	0	0.89	0.19	0.17	1.05	4.8	0.13	10.24	118.62	3.26	11.35	1.1
R3B-CONV-NH4	R3B	CONV	NH4	12.05	3.24	6.69	0.17	2.13	0.03	0	0.35	0	0	0	4.59	0.26	15.19	216.56	1.46	0	4.96
R3B-CONV-SO2	R3B	CONV	SO2	12.52	3.41	4.55	0.35	0.05	0.35	0	0.73	0	0.42	0	4.61	0.1	13.14	160.51	6.72	18.68	5.72
R3B-ECO-18C	R3B	ECO	18C	9.35	2.99	11.96	0.26	8.2	0	0	1.3	17.94	21.96	41.61	3.93	0.82	10.41	207.69	0	0	5.71
R3B-ECO-Control	R3B	ECO	Control	9.2	2.94	12.07	0.18	8.73	0	0	1.07	20.7	25.25	47.32	3.31	0.13	15.19	215.05	1.02	0.04	4.96
R3B-ECO-NH4	R3B	ECO	NH4	11.4	2.89	12.45	0.06	8.59	0	0	0.5	0	0	3.46	4.03	0.07	8.74	161.76	2.64	4.66	6.94
R3C-ECO-18C	R3C	ECO	18C	9.62	2.9	13.53	0.25	10.24	0	0	1	15.76	18.07	37.85	3.55	0.8	25.54	137.28	3.07	13.64	7.62
R3C-ECO-Control	R3C	ECO	Control	9.06	3	12.28	0.22	8.56	0	0	1.26	20.23	24.47	46.2	3.7	0.65	14.95	172.63	0	0	13.07
R3C-ECO-NH4	R3C	ECO	NH4	9.28	2.91	11.4	NA	7.98	0	0	0.56	19.2	23.36	42.39	3.29	0.3	10.2	148.65	0	3.41	6.27
