"Total reads"	"rRNA reads"	"rRNA reads (%)"	"non-rRNA reads"	"non-rRNA reads (%)"
"LM-CONV-18C"	16176378	792717	4.9	15383661	95.1
"LM-CONV-Control"	15094002	161293	1.07	14932709	98.93
"LM-CONV-NH4"	14754480	156275	1.06	14598205	98.94
"LM-CONV-SO2"	14926774	1954609	13.09	12972165	86.91
"LM-ECO-18C"	16366496	5622751	34.36	10743745	65.64
"LM-ECO-Control"	16970968	1981615	11.68	14989353	88.32
"LM-ECO-NH4"	16124516	2104411	13.05	14020105	86.95
"M-CONV-18C"	16657170	6569883	39.44	10087287	60.56
"M-CONV-Control"	16083158	7296929	45.37	8786229	54.63
"M-CONV-NH4"	14804498	5494771	37.12	9309727	62.88
"M-ECO-18C"	13742876	7146458	52	6596418	48
"M-ECO-Control"	14888272	2399496	16.12	12488776	83.88
"M-ECO-NH4"	13736416	4643057	33.8	9093359	66.2
"R1-CONV-18C"	15740454	6882813	43.73	8857641	56.27
"R1-CONV-Control"	15135678	5017300	33.15	10118378	66.85
"R1-CONV-NH4"	13977624	2894991	20.71	11082633	79.29
"R1-ECO-18C"	16836910	9626047	57.17	7210863	42.83
"R1-ECO-Control"	17710938	10469591	59.11	7241347	40.89
"R1-ECO-NH4"	17713074	10355696	58.46	7357378	41.54
"R1-ECO-SO2"	16475780	1240869	7.53	15234911	92.47
"R2-CONV-18C"	12968932	300792	2.32	12668140	97.68
"R2-CONV-Control"	15671266	176669	1.13	15494597	98.87
"R2-CONV-NH4"	25401722	7331386	28.86	18070336	71.14
"R2-CONV-SO2"	15008072	7984614	53.2	7023458	46.8
"R2-ECO-18C"	15226266	825937	5.42	14400329	94.58
"R2-ECO-Control"	16153696	6977701	43.2	9175995	56.8
"R2-ECO-NH4"	12078052	3311400	27.42	8766652	72.58
"R3A-CONV-18C"	16562486	597928	3.61	15964558	96.39
"R3A-CONV-Control"	14362158	413345	2.88	13948813	97.12
"R3A-CONV-NH4"	16568932	7282751	43.95	9286181	56.05
"R3A-ECO-18C"	18120830	12168975	67.15	5951855	32.85
"R3A-ECO-Control"	15112884	8237324	54.51	6875560	45.49
"R3A-ECO-NH4"	12879390	529724	4.11	12349666	95.89
"R3B-CONV-18C"	14957168	319801	2.14	14637367	97.86
"R3B-CONV-Control"	18582630	11867767	63.86	6714863	36.14
"R3B-CONV-NH4"	14273528	8615062	60.36	5658466	39.64
"R3B-CONV-SO2"	14062514	8000034	56.89	6062480	43.11
"R3B-ECO-18C"	14972502	8221747	54.91	6750755	45.09
"R3B-ECO-Control"	17467712	10714840	61.34	6752872	38.66
"R3B-ECO-NH4"	14569426	3568245	24.49	11001181	75.51
"R3C-ECO-18C"	16073186	11665312	72.58	4407874	27.42
"R3C-ECO-Control"	14423506	1760905	12.21	12662601	87.79
"R3C-ECO-NH4"	13589410	106451	0.78	13482959	99.22
"R3C-ECO-SO2"	14829898	3332398	22.47	11497500	77.53
"RdG-CONV-18C"	15158648	3237447	21.36	11921201	78.64
"RdG-CONV-Control"	14337234	8001948	55.81	6335286	44.19
"RdG-CONV-NH4"	16424034	9252416	56.33	7171618	43.67
"RdG-CONV-SO2"	19004916	16567106	87.17	2437810	12.83
"RdG-ECO-18C"	15956942	8546605	53.56	7410337	46.44
"RdG-ECO-Control"	16826086	447930	2.66	16378156	97.34
"RdG-ECO-NH4"	15121210	6350370	42	8770840	58
"VLP-CONV-18C"	15605470	8426580	54	7178890	46
"VLP-CONV-Control"	14490488	6774989	46.75	7715499	53.25
"VLP-CONV-NH4"	17217868	9904031	57.52	7313837	42.48
"VLP-CONV-SO2"	16384958	9736725	59.42	6648233	40.58
"VLP-ECO-18C"	16328558	598338	3.66	15730220	96.34
"VLP-ECO-Control"	13931416	5804706	41.67	8126710	58.33
"VLP-ECO-NH4"	16890306	3805805	22.53	13084501	77.47
"VLP-ECO-SO2"	16020898	6332295	39.53	9688603	60.47
