"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"	"perc"
"ITS-100"	69469	59907	59736	59877	59239	59175	85,1818796873426
"ITS-101"	62313	54622	54442	54537	54281	54133	86,8727231877778
"ITS-102"	76998	66554	66381	66519	66279	66203	85,9801553287098
"ITS-103"	71035	61002	60859	60980	60559	60551	85,2410783416626
"ITS-104"	67484	60124	60040	60070	59899	59782	88,5869243079841
"ITS-105"	60868	53902	53803	53829	53541	53404	87,7373989616876
"ITS-106"	53609	47830	47768	47813	47725	47670	88,9216362924136
"ITS-107"	43758	38933	38838	38853	38625	38538	88,0707527766351
"ITS-108"	55123	48220	48168	48191	47750	47740	86,6063167824683
"ITS-109"	44493	39461	39282	39382	39136	38421	86,3529094464298
"ITS-110"	71827	63567	63505	63524	63390	63317	88,1520876550601
"ITS-111"	72510	63758	63564	63661	63265	63164	87,1107433457454
"ITS-112"	56144	49235	49089	49159	48945	48896	87,0903391279567
"ITS-113"	63892	56745	56622	56619	56373	56267	88,0657985350279
"ITS-114"	64945	57674	57583	57603	57338	57274	88,1884671645238
"ITS-115"	62677	56250	56055	56124	55771	55308	88,2428961181933
"ITS-116"	50264	44606	44440	44501	44244	43849	87,2373865987586
"ITS-117"	49836	44323	44179	44257	44003	43832	87,9524841480055
"ITS-118"	82659	72824	72758	72784	72621	72608	87,8404045536481
"ITS-119"	58151	52256	52164	52201	52017	51922	89,2882323605785
"ITS-120"	67992	61150	61049	61117	60961	60861	89,5120014119308
"ITS-121"	41483	36272	36151	36171	35904	35818	86,3438034857652
"ITS-122"	50005	44733	44658	44658	44159	44068	88,1271872812719
"ITS-123"	45581	38847	38684	38773	38373	38311	84,0503718654703
"ITS-124"	48967	43351	43262	43289	43184	43013	87,8407907366185
"ITS-125"	22548	16902	16767	16807	16666	16604	73,6384601738513
"ITS-126"	61448	53570	53460	53536	53102	53086	86,3917458664236
"ITS-55"	56973	50795	50572	50721	50307	48114	84,4505291980412
"ITS-56"	69611	62524	62372	62433	62217	61715	88,6569651348207
"ITS-57"	59409	51628	51422	51542	51048	50804	85,5156626100423
"ITS-58"	56433	49102	48895	48988	48545	48275	85,543919337976
"ITS-59"	61449	54230	54118	54129	53823	53374	86,8590213022181
"ITS-60"	45197	39051	38972	39015	38786	38785	85,8132176914397
"ITS-61"	48662	42673	42344	42480	42029	40978	84,2094447412766
"ITS-62"	57525	50436	50382	50383	50187	50126	87,1377661886136
"ITS-63"	77053	73049	72510	72681	68110	66498	86,3016365358909
"ITS-64"	59432	52050	51956	51950	51722	51613	86,8437878583928
"ITS-65"	87479	75949	75677	75812	75344	74143	84,7551983904709
"ITS-66"	79648	68769	68608	68678	68343	67602	84,8759541984733
"ITS-67"	77201	66315	66124	66176	65441	65031	84,2359554928045
"ITS-68"	77808	67447	67323	67379	67121	66729	85,7611042566317
"ITS-69"	70702	59993	59814	59846	59430	58917	83,3314474838053
"ITS-70"	88527	75076	74816	74963	74476	73171	82,6538796073514
"ITS-71"	75941	66090	65877	65917	65528	64878	85,4321117709801
"ITS-72"	82417	70115	69852	69978	69038	68360	82,9440528046398
"ITS-73"	65079	58120	57929	58046	57624	56661	87,0649518277785
"ITS-74"	56322	49936	49849	49880	49754	49361	87,6407087816484
"ITS-75"	77995	68602	68460	68569	68160	67975	87,1530226296558
"ITS-76"	76869	66342	66158	66246	65887	65332	84,9913489182896
"ITS-77"	62505	54623	54396	54463	54052	53224	85,1515878729702
"ITS-78"	74214	64302	64153	64204	63940	63853	86,0390222869
"ITS-79"	64885	56920	56683	56718	56156	54385	83,8175233104724
"ITS-80"	63670	56164	55854	56024	55596	54447	85,5143709753416
"ITS-81"	82937	73163	72973	73073	72753	71920	86,7164233092588
"ITS-82"	75639	65888	65779	65808	65672	65396	86,4580441306733
"ITS-83"	86174	76468	76258	76386	75918	74692	86,6757954835565
"ITS-84"	61629	52844	52762	52786	52639	52345	84,9356634052151
"ITS-85"	67367	58456	58334	58412	58069	57840	85,8580610684757
"ITS-86"	77683	66893	66663	66806	66490	65344	84,1162159030933
"ITS-87"	84532	74338	74118	74171	73570	73001	86,3590119717977
"ITS-88"	74805	66316	66131	66263	66030	65169	87,1185081211149
"ITS-89"	94712	84232	83975	84034	83647	82346	86,9435763155672
"ITS-90"	91332	79359	79154	79281	78658	77687	85,0600008759252
"ITS-91"	68380	61095	60875	60980	60600	57329	83,8388417665984
"ITS-92"	62952	56038	55932	55965	55810	55035	87,4237514296607
"ITS-93"	197730	170158	169830	170089	168651	167502	84,712486724321
"ITS-94"	92335	79878	79750	79791	79441	78544	85,0641685168138
"ITS-95"	85436	75005	74755	74771	74352	73384	85,8935343414954
"ITS-96"	92039	81533	81376	81465	81021	80764	87,7497582546529
"ITS-97"	65452	57928	57740	57797	57472	56854	86,863655808837
"ITS-98"	53706	47464	47318	47371	47193	46877	87,2844747328045
"ITS-99"	58390	51840	51711	51758	51540	51374	87,9842438773763
