"KEGG_ko","LM-CONV-18C","LM-CONV-Control","LM-CONV-NH4","LM-CONV-SO2","LM-ECO-18C","LM-ECO-Control","LM-ECO-NH4","M-CONV-18C","M-CONV-Control","M-CONV-NH4","M-ECO-18C","M-ECO-Control","M-ECO-NH4","R1-CONV-18C","R1-CONV-Control","R1-CONV-NH4","R1-ECO-18C","R1-ECO-Control","R1-ECO-NH4","R1-ECO-SO2","R2-CONV-18C","R2-CONV-Control","R2-CONV-NH4","R2-CONV-SO2","R2-ECO-18C","R2-ECO-Control","R2-ECO-NH4","R3A-CONV-18C","R3A-CONV-Control","R3A-CONV-NH4","R3A-ECO-18C","R3A-ECO-Control","R3A-ECO-NH4","R3B-CONV-18C","R3B-CONV-Control","R3B-CONV-NH4","R3B-CONV-SO2","R3B-ECO-18C","R3B-ECO-Control","R3B-ECO-NH4","R3C-ECO-18C","R3C-ECO-Control","R3C-ECO-NH4","R3C-ECO-SO2","RdG-CONV-18C","RdG-CONV-Control","RdG-CONV-NH4","RdG-CONV-SO2","RdG-ECO-18C","RdG-ECO-Control","RdG-ECO-NH4","VLP-CONV-18C","VLP-CONV-Control","VLP-CONV-NH4","VLP-CONV-SO2","VLP-ECO-18C","VLP-ECO-Control","VLP-ECO-NH4","VLP-ECO-SO2"
"ko:K00002",54,188,125,157,969,1769,1442,6182,5888,6974,3607,6352,3938,4494,3845,3974,836,1132,1011,9984,2304,4843,5777,1653,3150,2324,1653,1190,1548,1022,833,1286,1736,1875,744,549,162,910,1161,1643,726,2033,2082,11961,4616,732,1267,416,2258,7134,1792,3591,2728,1819,149,159,147,172,91
"ko:K00003",1839,1029,0,0,437,1328,70,1327,2232,2457,336,559,713,671,720,1114,1519,1286,2064,1846,0,3835,1534,1405,1310,1295,62,1705,1694,0,793,1121,0,1695,1043,833,364,1531,0,833,904,0,0,1327,0,667,0,0,2755,0,2955,1779,1422,1269,0,1165,0,1543,0
"ko:K00004",14483,3807,399,13118,0,688,0,0,0,0,14,0,0,0,0,0,211,239,238,0,140,19,18,195,36,103,115,638,1117,397,477,90,234,633,1063,258,574,122,53,52,106,139,160,557,8946,5293,4845,1239,0,0,0,189,253,198,2558,1287,3516,1499,1675
"ko:K00006",28080,13802,8650,19226,29884,35091,29425,13532,5340,15125,7398,12042,8148,9687,9383,11310,10920,6440,5503,9094,13326,23978,25272,8893,35555,8232,6287,13245,28039,9604,11507,6771,21046,22233,6834,5545,678,9992,10343,14982,6385,14430,14931,8616,13102,5478,7806,3956,9443,12457,4927,11719,11565,8317,18353,17930,9123,11257,9912
"ko:K00008,ko:K05351",1283,1894,706,597,6240,2104,252,0,0,0,0,0,0,0,0,0,2911,3261,2494,13327,2522,770,1301,500,5254,2040,1344,4759,3339,4465,2854,464,2736,5748,1274,765,688,1393,875,0,882,1305,1433,20951,1989,880,1137,393,160,0,19,0,13,25,2657,590,1267,978,334
"ko:K00015",4798,2166,810,166,4809,6959,385,4223,2628,5817,1890,2816,1885,898,2291,2732,1888,244,2391,3241,413,3786,4894,902,810,4622,2482,5663,6657,3852,2879,1497,277,809,2229,1291,305,1443,2259,372,991,5920,391,2485,1452,576,1514,367,3390,6758,4347,4112,1783,1523,1281,1875,1997,1074,126
"ko:K00016",0,0,0,0,8459,42747,30131,0,0,0,0,0,0,0,0,0,15640,10038,10156,242,71187,11204,16145,24,114956,31211,37579,20935,34409,13659,22535,31955,74318,39382,29012,19338,14,34858,47346,70020,30231,84319,129127,40,0,0,0,5,3305,75,960,0,0,0,0,0,0,0,0
"ko:K00021",3431,22513,12170,10269,1888,2684,1442,2915,1158,803,1302,2076,1085,1423,1017,1188,1660,1462,2638,3483,7202,3875,3419,2248,3277,3496,8360,2671,3253,1850,1322,4770,4180,8902,7022,4668,19730,2118,2537,4078,852,3288,4061,1599,1302,689,950,477,1660,3277,2932,1831,3366,7066,6058,11067,15959,18639,14645
"ko:K00026",26706,16569,8040,23476,5735,3563,4133,7442,4435,9193,23344,34820,14977,24898,15380,13187,2906,1883,3365,16983,2436,5924,7290,2681,5284,3961,1812,6239,1122,5728,4786,828,4997,7905,3776,2886,2127,1378,3126,2129,2067,2613,3045,11681,13320,6079,9574,2143,3093,8386,4332,7497,4415,3371,5180,9232,8640,9125,9856
"ko:K00027",6609,4671,7101,5138,1679,352,95,10340,3485,8070,7790,11737,8459,5965,6645,9174,889,2092,0,7067,2146,9202,10974,7857,8184,2682,2745,0,9670,2894,3570,0,0,3002,1283,2137,3934,1646,2142,3033,800,4879,6786,5301,1960,795,932,557,8650,14037,9468,6230,3467,4891,778,6106,1208,6237,3077
