"KEGG_ko"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"Symbol"	"Name"	"DEO"
"ko:K13076"	926.546744537829	29.794541709636	1.23997663646367	1.88704994790004e-128	5.34412545245292e-125	"SLD"	"sphingolipid 8-(E)-desaturase [EC:1.14.19.18]"	1
"ko:K10273"	372.594328599533	29.7836432416222	1.27243630939681	4.8887417261193e-122	6.92245828418493e-119	"FBXL7"	"F-box and leucine-rich repeat protein 7"	1
"ko:K10256"	4560.34400333034	29.7606068924632	1.33845824327442	2.11502494272312e-110	1.99658354593062e-107	"FAD2"	"omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]"	1
"ko:K04712"	1085.9793992438	29.6346208051335	1.36726605712895	4.87822372399088e-105	3.45378239658554e-102	"DEGS"	"sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]"	1
"ko:K09704"	545.478738234768	17.1011373440187	0.892255876410554	1.30854749176356e-83	7.41161299334878e-81	"K09704"	"uncharacterized protein"	1
"ko:K20238"	1072.81928346232	29.6793895199916	1.5489278974819	1.04856223341612e-82	4.94921374172409e-80	"E2.1.1.317"	"sphingolipid C9-methyltransferase [EC:2.1.1.317]"	1
"ko:K10968"	1448.3615912786	29.6711005785912	1.5688202887158	1.19873751055679e-80	4.8497494712812e-78	"MNT2"	"alpha 1,3-mannosyltransferase [EC:2.4.1.-]"	1
"ko:K00938"	491.28822493474	29.6630874483594	1.58781373800146	9.38037345257525e-79	3.32065220221164e-76	"E2.7.4.2, mvaK2"	"phosphomevalonate kinase [EC:2.7.4.2]"	1
"ko:K01338"	291.112741663954	29.6367561451384	1.64868553806549	4.04335042718878e-73	1.27230760108874e-70	"lon"	"ATP-dependent Lon protease [EC:3.4.21.53]"	1
"ko:K12872"	101.697480864194	22.4243201747929	1.31336845731504	4.24014700019086e-66	1.20080963045405e-63	"RBM22, SLT11"	"pre-mRNA-splicing factor RBM22/SLT11"	1
"ko:K14394"	126.180443767972	27.7190636236361	1.6792365716348	5.46476355166301e-62	1.40692821620997e-59	"ACP1"	"low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2 3.1.3.48]"	1
"ko:K02924"	3392.16628734087	10.6577954213472	0.698041614637399	7.70264211298482e-54	1.81782353866442e-51	"RP-L39e, RPL39"	"large subunit ribosomal protein L39e"	1
"ko:K01094"	231.892261878673	28.6661964709121	1.88968381202757	8.35245525000199e-53	1.81955025138505e-50	"GEP4"	"phosphatidylglycerophosphatase GEP4 [EC:3.1.3.27]"	1
"ko:K14416"	670.6297942127	25.8972270518776	1.76216310893442	1.30477262578017e-49	2.63936862586389e-47	"HBS1"	"elongation factor 1 alpha-like protein"	1
"ko:K20791"	291.711940806884	23.4021037332	1.71265990391877	3.12717819155743e-43	5.90411242566044e-41	"NAA10_11, ARD1_2"	"N-alpha-acetyltransferase 10/11 [EC:2.3.1.255]"	1
"ko:K11399"	166.599837859513	22.9963154964159	1.7036078981517	2.87703345597292e-42	5.09234921707207e-40	"EAF7"	"chromatin modification-related protein EAF7"	1
"ko:K02725"	1131.95201724166	12.380366151343	0.943893823481037	4.84920764420545e-41	8.07820944022932e-39	"PSMA1"	"20S proteasome subunit alpha 6 [EC:3.4.25.1]"	1
"ko:K03293"	213.261003613126	13.385996296481	1.02596104057073	6.99006642071367e-41	1.09977045019228e-38	"TC.AAT"	"amino acid transporter, AAT family"	1
"ko:K00016"	17521.6409739261	16.4240610943372	1.2591924705105	8.61775177409332e-41	1.28449858022275e-38	"LDH, ldh"	"L-lactate dehydrogenase [EC:1.1.1.27]"	1
"ko:K07734"	192.681774227758	27.4337414301247	2.10802106360575	1.69199225875799e-39	2.39586103840132e-37	"paiB"	"transcriptional regulator"	1
"ko:K17787"	199.540033059305	13.1480088659327	1.07094245094123	1.44266417062906e-36	1.94553568153405e-34	"MIC12"	"MICOS complex subunit MIC12"	1
"ko:K19619"	454.040192221042	13.1346605683438	1.09428257124941	4.16043522193861e-35	5.35561479478643e-33	"TDP2"	"tyrosyl-DNA phosphodiesterase 2 [EC:3.1.4.-]"	1
